#Nenndurchm;Steigung;Schlüsselweite (Hex);Kopfhöhe;Imbusschlüsselw. Countersunk;Kopfhöhe Countersunk;Durchgangsloch;Kopfsenkung;Imbusschlüsseltiefe;Imb. Kopfaussendurchm.;Imbusschlüsselw.;Mutterhöhe;
Dn;P;s;k;s3;k5;dh;d3;ki;d1i;s1i;m;mlow
2.5;0.45;5;1.7;2;2.5;2.9;8;2.5;4.5;2;2;1.6
3;0.5;5.5;2;2;1.86;3.4;11;3;5.5;2.5;2.4;1.8
4;0.7;7;3.5;2.5;2.48;4.5;13;4;7;3;3.2;2.2
5;0.8;8;3.5;3;3.1;5.5;15;5;8.5;4;4.7;2.7
6;1;10;4;4;3.72;6.6;18;6;10;5;5.2;3.2
8;1.25;13;5.3;5;4.96;9;24;8;13;6;6.8;4
10;1.5;16;6.4;6;6.2;11;28;10;16;8;8.4;5
12;1.75;18;7.5;8;7.44;13.5;33;12;18;10;10.8;6
14;2;21;8.8;8;8.4;15.5;36;14;21;12;12.8;7
16;2;24;10.5;10;-1;18;-1;-1;24;14;13;8
18;2.5;27;12;-1;-1;20;-1;-1;-1;-1;15;-1
20;2.5;30;13;12;-1;23;-1;-1;30;17;16;-1
22;2.5;32;14;-1;-1;25;-1;-1;-1;-1;17;-1
24;3;36;15;14;-1;27;-1;-1;36;19;18;-1
27;3;41;17;-1;-1;30;-1;-1;-1;-1;20;-1
30;3.5;46;19;-1;-1;33;-1;-1;45;22;22;-1
33;3.5;50;21;-1;-1;36;-1;-1;-1;-1;25;-1
36;4;55;23;-1;-1;39;-1;-1;54;27;28;-1
