Dn,d1,d2,h
1,1.1,3,0.3
1.2,1.3,3.5,0.3
1.4,1.5,4,0.3
1.6,1.7,4,0.3
1.7,1.8,4.5,0.3
1.8,2,4.5,0.3
2,2.2,5,0.3
2.2,2.4,6,0.5
2.5,2.7,6,0.5
2.6,2.8,7,0.5
3,3.2,7,0.5
3.5,3.7,8,0.5
4,4.3,9,0.8
5,5.3,10,1
6,6.4,12,1.6
7,7.4,14,1.6
8,8.4,16,1.6
10,10.5,20,2
12,13,24,2.5
14,15,28,2.5
16,17,30,3
18,19,34,3
20,21,37,3
22,23,39,3
24,25,44,4
27,28,50,4
30,31,56,4
33,34,60,5
36,37,66,5
39,42,72,6
42,45,78,8
45,48,85,8
48,52,92,8
52,56,98,8
56,62,105,10
60,6,110,10
64,70,115,10
68,74,120,10
72,78,125,10
76,82,135,10
80,86,140,12
90,96,160,12
