#zByH	umean
5.67455e-05	15.5584
0.0140858	18.6041
0.0281122	21.6244
0.0435264	23.2995
0.0558272	24.3401
0.0680843	24.9492
0.0833849	25.5076
0.0956213	25.9137
0.112431	26.3198
0.138397	26.8274
0.168942	27.3858
0.200998	27.8173
0.236105	28.2741
0.28951	28.7817
0.326132	29.1371
0.36427	29.4162
0.414611	29.7716
0.458847	30.0508
0.500028	30.2792
0.550354	30.4822
0.602204	30.6853
0.646429	30.8629
0.692174	30.9898
0.742497	31.1675
0.766895	31.2437
0.795866	31.3198
0.824837	31.3959
0.856857	31.4721
0.879731	31.5482
0.904126	31.599
0.93157	31.6497
0.955968	31.7259
0.981896	31.8528
0.995631	32.0051


