%Morse station 2, x/D=1.0
          18
%r/x, r/r05, U/Ucl, V/Ucl, W/Wmax, u2, / v2, w2, uv, uw, vw
 .0000E+00 .0000E+00 .1000E+01 .0000E+00 .0000E+00 .1620E-01 .2590E-01 .2480E-01-.1440E-02-.9300E-03 .2400E-03
 .1970E-01 .4000E-01 .1004E+01 .2100E-02 .9800E-01 .1650E-01 .2270E-01 .2330E-01-.2010E-02 .1040E-02-.6400E-03
 .3940E-01 .7900E-01 .1010E+01 .4400E-02 .2400E+00 .1630E-01 .2070E-01 .2220E-01-.7500E-03 .8700E-03 .8000E-04
 .5910E-01 .1190E+00 .9970E+00 .6400E-02 .4030E+00 .1610E-01 .2050E-01 .2200E-01 .3400E-03-.7900E-03 .3200E-03
 .7870E-01 .1590E+00 .9830E+00 .8100E-02 .5210E+00 .1420E-01 .1330E-01 .1290E-01 .7500E-03 .2440E-02 .2000E-04
 .1082E+00 .2180E+00 .9780E+00 .1080E-01 .7050E+00 .1400E-01 .1340E-01 .1290E-01 .9100E-03 .3040E-02 .7600E-03
 .1378E+00 .2780E+00 .9560E+00 .1290E-01 .8250E+00 .1370E-01 .1190E-01 .1010E-01 .1390E-02 .3410E-02 .4100E-03
 .1673E+00 .3370E+00 .9540E+00 .1550E-01 .9020E+00 .1400E-01 .1780E-01 .1410E-01 .2360E-02 .2010E-02 .2200E-03
 .1969E+00 .3960E+00 .9370E+00 .1770E-01 .9640E+00 .1480E-01 .1870E-01 .1260E-01 .2710E-02 .3000E-02 .6100E-03
 .2461E+00 .4960E+00 .9220E+00 .2230E-01 .1000E+01 .1410E-01 .1710E-01 .8100E-02 .3120E-02 .4940E-02 .9400E-03
 .2953E+00 .5950E+00 .8980E+00 .2730E-01 .9430E+00 .1650E-01 .1270E-01 .1130E-01 .4330E-02 .5070E-02 .1780E-02
 .3544E+00 .7140E+00 .8410E+00 .3220E-01 .9420E+00 .2000E-01 .1070E-01 .1140E-01 .5970E-02 .7680E-02 .4070E-02
 .4035E+00 .8130E+00 .7580E+00 .3330E-01 .9050E+00 .2910E-01 .1860E-01 .2020E-01 .9120E-02 .7720E-02 .5710E-02
 .4527E+00 .9120E+00 .6320E+00 .2870E-01 .5730E+00 .4200E-01 .1720E-01 .1900E-01 .1391E-01 .9340E-02 .7460E-02
 .5020E+00 .1011E+01 .4890E+00 .1930E-01 .5660E+00 .4720E-01 .1870E-01 .2080E-01 .1677E-01 .1283E-01 .8610E-02
 .5510E+00 .1110E+01 .3060E+00 .9000E-03 .4240E+00 .4200E-01 .1400E-01 .2250E-01 .1349E-01 .1370E-01 .7370E-02
 .6100E+00 .1229E+01 .2090E+00-.1170E-01 .3260E+00 .3120E-01 .8900E-02 .1840E-01 .1012E-01 .1190E-01 .4730E-02
 .6890E+00 .1388E+01 .9900E-01-.2910E-01 .1990E+00 .1740E-01 .5900E-02 .9500E-02 .3580E-02 .7960E-02 .1860E-02
