%Morse station 3, x/D=2.0
          15
%r/x, r/r05, U/Ucl, V/Ucl, W/Wmax, u2, / v2, w2, uv, uw, vw
 .0000E+00 .0000E+00 .1000E+01 .0000E+00 .0000E+00 .4880E-01 .3770E-01 .3630E-01 .1820E-02 .0000E+00-.1160E-02
 .1980E-01 .6300E-01 .9950E+00 .4400E-02 .2430E+00 .4870E-01 .3620E-01 .3090E-01 .5700E-03-.5600E-03-.7800E-03
 .3930E-01 .1250E+00 .9930E+00 .8800E-02 .5100E+00 .4950E-01 .3620E-01 .2890E-01 .6900E-03-.1350E-02-.7100E-03
 .5900E-01 .1880E+00 .9910E+00 .1300E-01 .7490E+00 .5000E-01 .3100E-01 .2390E-01 .1910E-02-.9400E-03 .8000E-03
 .7870E-01 .2520E+00 .9780E+00 .1760E-01 .9530E+00 .5220E-01 .2420E-01 .2050E-01 .4490E-02 .1030E-02 .2910E-02
 .9850E-01 .3150E+00 .9730E+00 .2280E-01 .1000E+01 .5180E-01 .2690E-01 .1480E-01 .5300E-02 .6300E-03 .3500E-02
 .1180E+00 .3770E+00 .9550E+00 .2640E-01 .9630E+00 .5150E-01 .3770E-01 .1620E-01 .7710E-02 .1780E-02 .6370E-02
 .1478E+00 .4720E+00 .9180E+00 .3010E-01 .8960E+00 .6620E-01 .5620E-01 .1990E-01 .1253E-01 .3290E-02 .8520E-02
 .1967E+00 .6290E+00 .8410E+00 .3490E-01 .7410E+00 .7830E-01 .6260E-01 .3250E-01 .2132E-01 .6150E-02 .1479E-01
 .2460E+00 .7860E+00 .7100E+00 .3240E-01 .5860E+00 .6980E-01 .6180E-01 .4400E-01 .2675E-01 .1110E-01 .1526E-01
 .2952E+00 .9430E+00 .5610E+00 .2450E-01 .4690E+00 .5070E-01 .5550E-01 .4590E-01 .2596E-01 .1288E-01 .1401E-01
 .3445E+00 .1101E+01 .3910E+00 .1010E-01 .3670E+00 .3450E-01 .4230E-01 .3580E-01 .2071E-01 .9410E-02 .9630E-02
 .3938E+00 .1258E+01 .2810E+00-.3000E-03 .2920E+00 .2210E-01 .3080E-01 .2190E-01 .1313E-01 .7060E-02 .8520E-02
 .4430E+00 .1415E+01 .1930E+00-.1000E-01 .2250E+00 .9100E-02 .1380E-01 .1300E-01 .1053E-01 .5280E-02 .5740E-02
 .4725E+00 .1510E+01 .1110E+00-.2310E-01 .1670E+00 .0000E+00 .7400E-02 .9100E-02 .5810E-02 .3520E-02 .3140E-02
