%Morse station 5, x/D=6.0
          17
%r/x, r/r05, U/Ucl, V/Ucl, W/Wmax, u2, / v2, w2, uv, uw, vw
 .0000E+00 .0000E+00 .1000E+01 .0000E+00 .0000E+00 .6910E-01 .4800E-01 .4710E-01-.1430E-02 .6500E-03-.7300E-03
 .1310E-01 .6300E-01 .9970E+00 .5100E-02 .2000E+00 .6990E-01 .4830E-01 .4800E-01 .1070E-02 .6700E-03-.3100E-03
 .2620E-01 .1270E+00 .9950E+00 .1030E-01 .3700E+00 .7080E-01 .4730E-01 .4870E-01 .4050E-02 .1170E-02 .1600E-03
 .3930E-01 .1900E+00 .9930E+00 .1530E-01 .4670E+00 .7200E-01 .4950E-01 .4950E-01 .1042E-01 .2260E-02-.5100E-03
 .5910E-01 .2850E+00 .9780E+00 .2270E-01 .5920E+00 .7820E-01 .5010E-01 .5030E-01 .1553E-01 .3080E-02 .1250E-02
 .8530E-01 .4120E+00 .9530E+00 .3200E-01 .8190E+00 .8180E-01 .5000E-01 .5200E-01 .1961E-01 .3450E-02 .1240E-02
 .1050E+00 .5070E+00 .9170E+00 .3790E-01 .9250E+00 .8580E-01 .5430E-01 .4880E-01 .2540E-01 .3750E-02 .3520E-02
 .1312E+00 .6340E+00 .8090E+00 .4120E-01 .9730E+00 .8780E-01 .5570E-01 .5420E-01 .2770E-01 .4930E-02 .4650E-02
 .1658E+00 .8010E+00 .7210E+00 .4600E-01 .1000E+01 .8480E-01 .5440E-01 .5200E-01 .2971E-01 .4340E-02 .7470E-02
 .1837E+00 .8880E+00 .6170E+00 .3870E-01 .9820E+00 .7190E-01 .5150E-01 .5000E-01 .2835E-01 .5070E-02 .5700E-02
 .2100E+00 .1014E+01 .4850E+00 .2730E-01 .9470E+00 .6430E-01 .4840E-01 .4690E-01 .2718E-01 .3930E-02 .6180E-02
 .2362E+00 .1141E+01 .4040E+00 .1840E-01 .8880E+00 .5620E-01 .4560E-01 .4220E-01 .2282E-01 .3420E-02 .6960E-02
 .2625E+00 .1268E+01 .3290E+00 .7200E-02 .7840E+00 .4050E-01 .3450E-01 .3270E-01 .2071E-01 .3650E-02 .4130E-02
 .2952E+00 .1426E+01 .2550E+00-.4500E-02 .7410E+00 .3850E-01 .2330E-01 .2300E-01 .1634E-01 .3750E-02 .4310E-02
 .3281E+00 .1585E+01 .1930E+00-.1620E-01 .6100E+00 .2390E-01 .2270E-01 .1880E-01 .1159E-01 .3840E-02 .3410E-02
 .3609E+00 .1744E+01 .1210E+00-.3330E-01 .5660E+00 .1570E-01 .1400E-01 .9700E-02 .9260E-02 .2840E-02 .4700E-03
š3937E+00 .1902E+01 .7900E-01-.4450E-01 .4320E+00 .9800E-02 .1040E-01 .3900E-02 .5580E-02 .1030E-02 .9900E-03
