# Energy budget of the u_t u_t Reynolds normal stress
#
# r/D     TD      PR      VP      VD      DS      SUM
.00781 .76483E+00 -.41701E-04 .12413E+01 -.35190E-01 -.16026E+01 .36827E+00
.01302 .74409E+00 -.57983E-04 .87422E+00 .13910E-02 -.14926E+01 .12707E+00
.01823 .76686E+00 -.47735E-04 .70890E+00 .19165E-01 -.14747E+01 .20141E-01
.02344 .77995E+00 -.12662E-04 .62939E+00 .29217E-01 -.14796E+01 -.41008E-01
.02865 .77572E+00 .37497E-04 .59182E+00 .40606E-01 -.14936E+01 -.85446E-01
.03385 .75691E+00 .90769E-04 .57743E+00 .56671E-01 -.15125E+01 -.12135E+00
.03906 .73406E+00 .14070E-03 .57842E+00 .72947E-01 -.15331E+01 -.14752E+00
.04427 .71672E+00 .18656E-03 .59201E+00 .83622E-01 -.15539E+01 -.16137E+00
.04948 .70383E+00 .22936E-03 .61741E+00 .88409E-01 -.15756E+01 -.16571E+00
.05469 .68716E+00 .26896E-03 .65418E+00 .92676E-01 -.16004E+01 -.16615E+00
.05990 .66452E+00 .30201E-03 .70144E+00 .10133E+00 -.16304E+01 -.16283E+00
.06510 .64440E+00 .32109E-03 .75747E+00 .11321E+00 -.16655E+01 -.15008E+00
.07031 .63668E+00 .31780E-03 .81945E+00 .12262E+00 -.17039E+01 -.12479E+00
.07552 .64272E+00 .28831E-03 .88373E+00 .12346E+00 -.17432E+01 -.93040E-01
.08073 .65563E+00 .23613E-03 .94670E+00 .11145E+00 -.17815E+01 -.67516E-01
.08594 .66603E+00 .17013E-03 .10058E+01 .89276E-01 -.18186E+01 -.57325E-01
.09115 .66891E+00 .10208E-03 .10597E+01 .67867E-01 -.18569E+01 -.60290E-01
.09635 .66815E+00 .44862E-04 .11078E+01 .58058E-01 -.18993E+01 -.65294E-01
.10156 .67431E+00 .80449E-05 .11504E+01 .61665E-01 -.19468E+01 -.60344E-01
.10677 .69816E+00 -.67488E-05 .11899E+01 .70093E-01 -.19972E+01 -.39077E-01
.11198 .74232E+00 -.48926E-05 .12301E+01 .73269E-01 -.20486E+01 -.29040E-02
.11719 .79773E+00 .64344E-05 .12751E+01 .68139E-01 -.21009E+01 .40080E-01
.12240 .84809E+00 .21837E-04 .13268E+01 .57537E-01 -.21552E+01 .77271E-01
.12760 .87665E+00 .38161E-04 .13846E+01 .45622E-01 -.22121E+01 .94774E-01
.13281 .87197E+00 .53726E-04 .14461E+01 .35731E-01 -.22716E+01 .82263E-01
.13802 .83200E+00 .67354E-04 .15093E+01 .31322E-01 -.23340E+01 .38748E-01
.14323 .76581E+00 .77785E-04 .15729E+01 .35828E-01 -.23994E+01 -.24781E-01
.14844 .69139E+00 .83965E-04 .16363E+01 .48565E-01 -.24665E+01 -.90206E-01
.15365 .63035E+00 .85564E-04 .16999E+01 .64131E-01 -.25333E+01 -.13885E+00
.15885 .60160E+00 .82857E-04 .17650E+01 .75353E-01 -.25986E+01 -.15656E+00
.16406 .61199E+00 .76349E-04 .18333E+01 .76144E-01 -.26625E+01 -.14102E+00
.16927 .65132E+00 .67585E-04 .19061E+01 .66914E-01 -.27265E+01 -.10206E+00
.17448 .70211E+00 .60265E-04 .19845E+01 .54187E-01 -.27924E+01 -.51541E-01
.17969 .74707E+00 .58142E-04 .20698E+01 .41732E-01 -.28615E+01 -.28105E-02
.18490 .76517E+00 .59802E-04 .21630E+01 .32690E-01 -.29349E+01 .25939E-01
.19010 .74135E+00 .57205E-04 .22639E+01 .33291E-01 -.30143E+01 .24293E-01
.19531 .68462E+00 .42535E-04 .23721E+01 .39367E-01 -.30975E+01 -.13276E-02
.20052 .61807E+00 .16004E-04 .24879E+01 .35489E-01 -.31797E+01 -.38214E-01
.20573 .55114E+00 -.14525E-04 .26117E+01 .19201E-01 -.32605E+01 -.78479E-01
