# Energy budget of the u_r u_r normal Reynolds stress
#
#r/D     TD      PR      VP      VD      DS      SUM
.01042  .82915E+00  .47077E-04 .49304E+00 .22517E-01 -.15927E+01 -.24796E+00
.01562  .86262E+00  .64843E-04 .47577E+00 .29102E-01 -.15337E+01 -.16617E+00
.02083  .89643E+00  .71327E-04 .46570E+00 .30492E-01 -.15140E+01 -.12132E+00
.02604  .92820E+00  .64941E-04 .45722E+00 .30253E-01 -.15098E+01 -.94056E-01
.03125  .95578E+00  .49608E-04 .45039E+00 .29945E-01 -.15134E+01 -.77260E-01
.03646  .97716E+00  .30381E-04 .44668E+00 .30217E-01 -.15215E+01 -.67467E-01
.04167  .99060E+00  .97525E-05 .44856E+00 .30709E-01 -.15324E+01 -.62497E-01
.04687  .99430E+00 -.12092E-04 .45881E+00 .30643E-01 -.15449E+01 -.61168E-01
.05208  .98589E+00 -.35931E-04 .47995E+00 .29708E-01 -.15588E+01 -.63265E-01
.05729  .96253E+00 -.62738E-04 .51418E+00 .28391E-01 -.15740E+01 -.68950E-01
.06250  .92237E+00 -.92638E-04 .56302E+00 .27628E-01 -.15907E+01 -.77761E-01
.06771  .86675E+00 -.12332E-03 .62606E+00 .28120E-01 -.16090E+01 -.88156E-01
.07292  .80144E+00 -.14932E-03 .69961E+00 .29914E-01 -.16288E+01 -.98010E-01
.07812  .73557E+00 -.16370E-03 .77679E+00 .32424E-01 -.16502E+01 -.10558E+00
.08333  .67835E+00 -.16154E-03 .84987E+00 .34674E-01 -.16729E+01 -.11020E+00
.08854  .63569E+00 -.14303E-03 .91341E+00 .35853E-01 -.16969E+01 -.11212E+00
.09375  .60875E+00 -.11324E-03 .96600E+00 .35857E-01 -.17222E+01 -.11175E+00
.09896  .59517E+00 -.79140E-04 .10097E+01 .35392E-01 -.17491E+01 -.10899E+00
.10417  .59184E+00 -.46767E-04 .10477E+01 .35438E-01 -.17780E+01 -.10309E+00
.10937  .59636E+00 -.20117E-04 .10831E+01 .36340E-01 -.18091E+01 -.93273E-01
.11458  .60671E+00 -.93620E-06 .11185E+01 .37639E-01 -.18423E+01 -.79493E-01
.11979  .62128E+00  .11148E-04 .11551E+01 .38814E-01 -.18776E+01 -.62449E-01
.12500  .63985E+00  .17773E-04 .11921E+01 .39781E-01 -.19150E+01 -.43314E-01
.13021  .66351E+00  .20728E-04 .12268E+01 .40726E-01 -.19545E+01 -.23451E-01
.13542  .69318E+00  .21200E-04 .12567E+01 .41799E-01 -.19959E+01 -.41992E-02
.14062  .72819E+00  .19652E-04 .12813E+01 .43092E-01 -.20393E+01  .13251E-01
.14583  .76588E+00  .16359E-04 .13022E+01 .44701E-01 -.20849E+01  .27910E-01
.15104  .80204E+00  .12023E-04 .13231E+01 .46516E-01 -.21328E+01  .38930E-01
.15625  .83130E+00  .76424E-05 .13486E+01 .48056E-01 -.21827E+01  .45196E-01
.16146  .84700E+00  .38755E-05 .13841E+01 .48678E-01 -.22346E+01  .45200E-01
.16667  .84224E+00  .95301E-06 .14355E+01 .47962E-01 -.22879E+01  .37768E-01
.17187  .81402E+00 -.10935E-05 .15060E+01 .45844E-01 -.23427E+01  .23236E-01
.17708  .76643E+00 -.25747E-05 .15935E+01 .42348E-01 -.23986E+01  .36509E-02
.18229  .70736E+00 -.41045E-05 .16924E+01 .37465E-01 -.24556E+01 -.18444E-01
.18750  .64225E+00 -.57648E-05 .17990E+01 .31790E-01 -.25137E+01 -.40700E-01
.19271  .57245E+00 -.64579E-05 .19130E+01 .27019E-01 -.25733E+01 -.60841E-01
.19792  .49860E+00 -.47043E-05 .20343E+01 .24884E-01 -.26347E+01 -.76974E-01
.20312  .42425E+00 -.81443E-07 .21604E+01 .25275E-01 -.26983E+01 -.88365E-01
.20833  .35495E+00  .64549E-05 .22870E+01 .26110E-01 -.27638E+01 -.95662E-01
.21354  .29335E+00  .13033E-04 .24120E+01 .25318E-01 -.28306E+01 -.99879E-01
.21875  .23717E+00  .16864E-04 .25374E+01 .22115E-01 -.28984E+01 -.10170E+00 
.22396  .18155E+00  .14370E-04 .26673E+01 .16917E-01 -.29675E+01 -.10173E+00
.22917  .12275E+00  .18720E-05 .28039E+01 .11131E-01 -.30381E+01 -.10029E+00
.23437  .64080E-01 -.23821E-04 .29439E+01 .63111E-02 -.31106E+01 -.96371E-01
.23958  .17752E-01 -.63957E-04 .30764E+01 .26159E-02 -.31854E+01 -.88747E-01
.24479 -.51125E-02 -.11552E-03 .31918E+01 -.73547E-03 -.32630E+01 -.77107E-01 
.25000 -.20018E-02 -.17082E-03 .32890E+01 -.37082E-02 -.33438E+01 -.60779E-01 
.25521 .23529E-01 -.22046E-03 .33717E+01 -.61430E-02 -.34288E+01 -.39918E-01 
.26042 .61690E-01 -.25785E-03 .34485E+01 -.83620E-02 -.35178E+01 -.16209E-01 
.26562 .10250E+00 -.28110E-03 .35285E+01 -.10009E-01 -.36107E+01 .99841E-02 
.27083 .14190E+00 -.29168E-03 .36133E+01 -.11766E-01 -.37072E+01 .35925E-01 
.27604 .17177E+00 -.29269E-03 .37079E+01 -.14562E-01 -.38065E+01 .58323E-01
.28125 .17917E+00 -.28693E-03 .38224E+01 -.17945E-01 -.39081E+01 .75231E-01 
.28646 .15176E+00 -.27421E-03 .39654E+01 -.22335E-01 -.40114E+01 .83132E-01 
.29167 .76035E-01 -.25121E-03 .41478E+01 -.28317E-01 -.41159E+01 .79319E-01 
.29687 -.50113E-01 -.21561E-03 .43725E+01 -.35430E-01 -.42215E+01 .65228E-01
.30208 -.21002E+00 -.16978E-03 .46247E+01 -.43553E-01 -.43278E+01 .43160E-01 
.30729 -.38408E+00 -.11950E-03 .48885E+01 -.51692E-01 -.44342E+01 .18406E-01
.31250 -.55678E+00 -.70124E-04 .51539E+01 -.58445E-01 -.45403E+01 -.17179E-02 
.31771 -.71360E+00 -.25035E-04 .54102E+01 -.65037E-01 -.46459E+01 -.14309E-01 
.32292 -.85248E+00 .13383E-04 .56539E+01 -.75634E-01 -.47501E+01 -.24360E-01 
.32812 -.98468E+00 .42612E-04 .58927E+01 -.90033E-01 -.48524E+01 -.34332E-01
.33333 -.11146E+01 .59712E-04 .61294E+01 -.10410E+00 -.49525E+01 -.41649E-01 
.33854 -.12393E+01 .62715E-04 .63612E+01 -.11586E+00 -.50500E+01 -.43884E-01 
.34375 -.13614E+01 .53295E-04 .65907E+01 -.12710E+00 -.51438E+01 -.41615E-01 
.34896 -.14866E+01 .36796E-04 .68239E+01 -.14097E+00 -.52321E+01 -.35684E-01 
.35417 -.16121E+01 .19356E-04 .70576E+01 -.15962E+00 -.53134E+01 -.27458E-01 
.35937 -.17318E+01 .53712E-05 .72836E+01 -.18050E+00 -.53872E+01 -.15807E-01
.36458 -.18397E+01 -.36358E-05 .74935E+01 -.19923E+00 -.54529E+01 .17441E-02 
.36979 -.19142E+01 -.95895E-05 .76639E+01 -.21847E+00 -.55092E+01 .22045E-01 
.37500 -.19390E+01 -.15448E-04 .77752E+01 -.24305E+00 -.55539E+01 .39232E-01 
.38021 -.19254E+01 -.22043E-04 .78337E+01 -.26748E+00 -.55852E+01 .55552E-01 
.38542 -.18809E+01 -.27285E-04 .78382E+01 -.28471E+00 -.56014E+01 .71158E-01 
.39062 -.17989E+01 -.27988E-04 .77760E+01 -.29665E+00 -.56005E+01 .79923E-01
.39583 -.16845E+01 -.23525E-04 .76471E+01 -.30725E+00 -.55808E+01 .74486E-01 
.40104 -.15488E+01 -.16605E-04 .74603E+01 -.31494E+00 -.55405E+01 .56001E-01 
.40625 -.13782E+01 -.10058E-04 .72074E+01 -.32017E+00 -.54775E+01 .31480E-01 
.41146 -.11495E+01 -.51459E-05 .68710E+01 -.32399E+00 -.53899E+01 .75195E-02 
.41667 -.86986E+00 -.22531E-05 .64493E+01 -.31780E+00 -.52765E+01 -.14831E-01 
.42188 -.55706E+00 -.92632E-06 .59547E+01 -.29128E+00 -.51345E+01 -.28198E-01
.42708 -.20026E+00 -.17509E-06 .53823E+01 -.24869E+00 -.49598E+01 -.26480E-01 
.43229 .20170E+00 .69763E-06 .47316E+01 -.19681E+00 -.47487E+01 -.12264E-01 
.43750 .60318E+00 .16010E-05 .40398E+01 -.13186E+00 -.44994E+01 .11802E-01 
.44271 .94985E+00 .18120E-05 .33522E+01 -.53725E-01 -.42094E+01 .38945E-01 
