# Energy budget of the u_r u_z Reynolds shear stress
#
# r/D     TD      PR      VP      VD      DS      SUM
.01042 -.86415E+00 .16868E+00 -.34781E-01 .46844E+00 -.57352E+00 -.83534E+00 
.01562 -.27317E+00 .34449E+00 -.21531E+00 .32701E+00 -.41100E+00 -.22797E+00 
.02083 -.12108E+00 .51849E+00 -.38110E+00 .25302E+00 -.34156E+00 -.72238E-01 
.02604 -.46003E-01 .68839E+00 -.54456E+00 .21009E+00 -.30846E+00 -.53772E-03 
.03125 .19920E-01 .85064E+00 -.70979E+00 .18075E+00 -.29310E+00 .48417E-01 
.03646 .90693E-01 .10016E+01 -.87495E+00 .15734E+00 -.28713E+00 .87576E-01 
.04167 .16214E+00 .11393E+01 -.10346E+01 .13701E+00 -.28635E+00 .11745E+00 
.04687 .22417E+00 .12638E+01 -.11834E+01 .11916E+00 -.28855E+00 .13516E+00 
.05208 .26828E+00 .13770E+01 -.13184E+01 .10356E+00 -.29230E+00 .13812E+00 
.05729 .29048E+00 .14826E+01 -.14391E+01 .90069E-01 -.29681E+00 .12724E+00 
.06250 .29084E+00 .15865E+01 -.15464E+01 .79097E-01 -.30219E+00 .10784E+00 
.06771 .27181E+00 .16955E+01 -.16421E+01 .71211E-01 -.30951E+00 .86929E-01 
.07292 .23713E+00 .18148E+01 -.17285E+01 .66031E-01 -.31992E+00 .69574E-01 
.07812 .19139E+00 .19461E+01 -.18083E+01 .61953E-01 -.33380E+00 .57332E-01 
.08333 .13986E+00 .20875E+01 -.18860E+01 .57438E-01 -.35036E+00 .48409E-01 
.08854 .88368E-01 .22359E+01 -.19682E+01 .52795E-01 -.36845E+00 .40402E-01 
.09375 .42432E-01 .23898E+01 -.20604E+01 .50081E-01 -.38782E+00 .34126E-01 
.09896 .50665E-02 .25488E+01 -.21624E+01 .50224E-01 -.40887E+00 .32854E-01 
.10417 -.24178E-01 .27114E+01 -.22701E+01 .51503E-01 -.43147E+00 .37161E-01 
.10937 -.46325E-01 .28748E+01 -.23819E+01 .51963E-01 -.45492E+00 .43646E-01 
.11458 -.58644E-01 .30366E+01 -.25013E+01 .51567E-01 -.47883E+00 .49362E-01 
.11979 -.54772E-01 .31956E+01 -.26338E+01 .50904E-01 -.50310E+00 .54855E-01 
.12500 -.29681E-01 .33511E+01 -.27815E+01 .49260E-01 -.52741E+00 .61797E-01 
