# Energy budget of the u_z u_z Reynolds normal stress
#
# r/D     TD      PR      VP      VD      DS      SUM
.00781 .41939E+01 .81738E-02 -.12574E+01 .79527E-01 -.26674E+01 .35679E+00
.01302 .41239E+01 .31040E-01 -.12935E+01 .93532E-01 -.26780E+01 .27703E+00
.01823 .39970E+01 .69638E-01 -.13378E+01 .14788E+00 -.26976E+01 .17906E+00
.02344 .38636E+01 .12298E+00 -.13899E+01 .22481E+00 -.27232E+01 .98242E-01
.02865 .37673E+01 .19018E+00 -.14490E+01 .29322E+00 -.27508E+01 .50941E-01
.03385 .37177E+01 .26962E+00 -.15135E+01 .33481E+00 -.27765E+01 .32027E-01
.03906 .37055E+01 .35924E+00 -.15825E+01 .34692E+00 -.27989E+01 .30176E-01
.04427 .37193E+01 .45700E+00 -.16551E+01 .33725E+00 -.28191E+01 .39275E-01
.04948 .37534E+01 .56130E+00 -.17305E+01 .31260E+00 -.28392E+01 .57548E-01
.05469 .38073E+01 .67147E+00 -.18085E+01 .27552E+00 -.28608E+01 .85046E-01
.05990 .38813E+01 .78827E+00 -.18892E+01 .23057E+00 -.28860E+01 .12497E+00
.06510 .39710E+01 .91420E+00 -.19728E+01 .18937E+00 -.29187E+01 .18309E+00
.07031 .40661E+01 .10527E+01 -.20592E+01 .16332E+00 -.29621E+01 .26078E+00
.07552 .41509E+01 .12064E+01 -.21481E+01 .15222E+00 -.30161E+01 .34540E+00
.08073 .42029E+01 .13764E+01 -.22394E+01 .14338E+00 -.30769E+01 .40632E+00
.08594 .41928E+01 .15618E+01 -.23341E+01 .12735E+00 -.31408E+01 .40706E+00
.09115 .41015E+01 .17612E+01 -.24336E+01 .11421E+00 -.32085E+01 .33487E+00
.09635 .39472E+01 .19742E+01 -.25394E+01 .11929E+00 -.32836E+01 .21777E+00
.10156 .37777E+01 .22003E+01 -.26523E+01 .13814E+00 -.33666E+01 .97230E-01
.10677 .36226E+01 .24378E+01 -.27725E+01 .15432E+00 -.34531E+01 -.10844E-01
.11198 .34786E+01 .26847E+01 -.28997E+01 .16545E+00 -.35408E+01 -.11179E+00
.11719 .33441E+01 .29389E+01 -.30337E+01 .18413E+00 -.36326E+01 -.19918E+00
.12240 .32399E+01 .31991E+01 -.31745E+01 .21394E+00 -.37298E+01 -.25142E+00
.12760 .31886E+01 .34636E+01 -.33216E+01 .24255E+00 -.38291E+01 -.25600E+00
.13281 .31867E+01 .37313E+01 -.34731E+01 .25714E+00 -.39263E+01 -.22418E+00
.13802 .32060E+01 .40019E+01 -.36265E+01 .25782E+00 -.40209E+01 -.18168E+00
.14323 .32217E+01 .42761E+01 -.37796E+01 .25388E+00 -.41170E+01 -.14485E+00
.14844 .32344E+01 .45550E+01 -.39310E+01 .24617E+00 -.42175E+01 -.11299E+00
.15365 .32514E+01 .48378E+01 -.40805E+01 .22343E+00 -.43212E+01 -.89110E-01
.15885 .32609E+01 .51231E+01 -.42289E+01 .18510E+00 -.44262E+01 -.86113E-01
.16406 .32541E+01 .54095E+01 -.43773E+01 .14598E+00 -.45341E+01 -.10191E+00
.16927 .32447E+01 .56966E+01 -.45271E+01 .11729E+00 -.46475E+01 -.11587E+00
.17448 .32472E+01 .59838E+01 -.46786E+01 .10036E+00 -.47668E+01 -.11392E+00
.17969 .32612E+01 .62714E+01 -.48319E+01 .91723E-01 -.48910E+01 -.98576E-01
.18490 .32840E+01 .65611E+01 -.49869E+01 .87368E-01 -.50205E+01 -.74929E-01
.19010 .33168E+01 .68570E+01 -.51442E+01 .84229E-01 -.51573E+01 -.43514E-01
.19531 .33539E+01 .71637E+01 -.53049E+01 .81293E-01 -.53036E+01 -.96367E-02
.20052 .33816E+01 .74850E+01 -.54708E+01 .81536E-01 -.54604E+01 .16929E-01
.20573 .33923E+01 .78233E+01 -.56436E+01 .90554E-01 -.56297E+01 .32783E-01
.21094 .33913E+01 .81798E+01 -.58249E+01 .11245E+00 -.58149E+01 .43693E-01
.21615 .33951E+01 .85551E+01 -.60169E+01 .14370E+00 -.60171E+01 .59950E-01
.22135 .34216E+01 .89498E+01 -.62221E+01 .17769E+00 -.62345E+01 .92662E-01
.22656 .34826E+01 .93640E+01 -.64429E+01 .20864E+00 -.64632E+01 .14920E+00
.23177 .35851E+01 .97963E+01 -.66809E+01 .22967E+00 -.66993E+01 .23086E+00
.23698 .37391E+01 .10246E+02 -.69378E+01 .23787E+00 -.69418E+01 .34297E+00
.24219 .39433E+01 .10714E+02 -.72142E+01 .23865E+00 -.71955E+01 .48639E+00
.24740 .41567E+01 .11206E+02 -.75074E+01 .24661E+00 -.74673E+01 .63460E+00
.25260 .43353E+01 .11724E+02 -.78114E+01 .26837E+00 -.77597E+01 .75627E+00
.25781 .44810E+01 .12263E+02 -.81198E+01 .29033E+00 -.80700E+01 .84442E+00
.26302 .46259E+01 .12813E+02 -.84278E+01 .29751E+00 -.83953E+01 .91323E+00
.26823 .47663E+01 .13360E+02 -.87331E+01 .27381E+00 -.87324E+01 .93426E+00
.27344 .48226E+01 .13893E+02 -.90360E+01 .23187E+00 -.90768E+01 .83439E+00
.27865 .47859E+01 .14411E+02 -.93381E+01 .19406E+00 -.94271E+01 .62531E+00
.28385 .47277E+01 .14919E+02 -.96415E+01 .16494E+00 -.97883E+01 .38194E+00
.28906 .46996E+01 .15431E+02 -.99466E+01 .16559E+00 -.10174E+02 .17574E+00
.29427 .47463E+01 .15968E+02 -.10256E+02 .21539E+00 -.10603E+02 .71569E-01
.29948 .49046E+01 .16547E+02 -.10577E+02 .30103E+00 -.11088E+02 .87649E-01
.30469 .51607E+01 .17169E+02 -.10918E+02 .39164E+00 -.11627E+02 .17593E+00
.30990 .54552E+01 .17828E+02 -.11277E+02 .45849E+00 -.12200E+02 .26427E+00
.31510 .57406E+01 .18517E+02 -.11649E+02 .46285E+00 -.12786E+02 .28586E+00
.32031 .59474E+01 .19243E+02 -.12029E+02 .46313E+00 -.13400E+02 .22482E+00
.32552 .61036E+01 .20023E+02 -.12414E+02 .56335E+00 -.14078E+02 .19748E+00
.33073 .63517E+01 .20871E+02 -.12807E+02 .70139E+00 -.14829E+02 .28874E+00
.33594 .67117E+01 .21795E+02 -.13206E+02 .77408E+00 -.15633E+02 .44237E+00
.34115 .70820E+01 .22806E+02 -.13605E+02 .78982E+00 -.16495E+02 .57831E+00
.34635 .73889E+01 .23919E+02 -.13999E+02 .83306E+00 -.17447E+02 .69400E+00
.35156 .76558E+01 .25138E+02 -.14395E+02 .92045E+00 -.18508E+02 .81084E+00
.35677 .78840E+01 .26461E+02 -.14802E+02 .10228E+01 -.19670E+02 .89598E+00
.36198 .80217E+01 .27891E+02 -.15214E+02 .11390E+01 -.20929E+02 .90934E+00
.36719 .81350E+01 .29437E+02 -.15627E+02 .12519E+01 -.22288E+02 .90899E+00
.37240 .81970E+01 .31118E+02 -.16047E+02 .13537E+01 -.23761E+02 .86047E+00
.37760 .80672E+01 .32968E+02 -.16464E+02 .14700E+01 -.25369E+02 .67270E+00
.38281 .77843E+01 .35033E+02 -.16870E+02 .15932E+01 -.27123E+02 .41769E+00
.38802 .73802E+01 .37374E+02 -.17267E+02 .17778E+01 -.29031E+02 .23420E+00
.39323 .67462E+01 .40086E+02 -.17642E+02 .20596E+01 -.31089E+02 .16097E+00
.39844 .58411E+01 .43284E+02 -.17969E+02 .22632E+01 -.33275E+02 .14382E+00
.40365 .45247E+01 .47097E+02 -.18231E+02 .23352E+01 -.35611E+02 .11482E+00
.40885 .24213E+01 .51675E+02 -.18404E+02 .24747E+01 -.38161E+02 .56788E-02
.41406 -.49619E+00 .57161E+02 -.18485E+02 .25987E+01 -.40933E+02 -.15465E+00 
.41927 -.41395E+01 .63677E+02 -.18480E+02 .25311E+01 -.43893E+02 -.30412E+00 
.42448 -.86325E+01 .71355E+02 -.18370E+02 .22739E+01 -.47041E+02 -.41438E+00 
.42969 -.13903E+02 .80324E+02 -.18143E+02 .17130E+01 -.50379E+02 -.38792E+00 
.43490 -.19726E+02 .90651E+02 -.17823E+02 .58307E+00 -.53854E+02 -.16755E+00 
.44010 -.25927E+02 .10229E+03 -.17428E+02 -.14441E+01 -.57374E+02 .11610E+00
.44531 -.32125E+02 .11499E+03 -.16949E+02 -.47089E+01 -.60865E+02 .34427E+00 
.45052 -.37532E+02 .12813E+03 -.16360E+02 -.95118E+01 -.64244E+02 .47955E+00 
.45573 -.40790E+02 .14039E+03 -.15602E+02 -.16214E+02 -.67327E+02 .45152E+00 
.46094 -.39829E+02 .14944E+03 -.14600E+02 -.25022E+02 -.69826E+02 .16330E+00 
.46615 -.32155E+02 .15177E+03 -.13286E+02 -.35325E+02 -.71477E+02 -.46798E+00 
.47135 -.15922E+02 .14306E+03 -.11606E+02 -.44468E+02 -.72337E+02 -.12681E+01
.47656 .71165E+01 .11994E+03 -.95297E+01 -.46064E+02 -.73310E+02 -.18506E+01 
.48177 .27459E+02 .83590E+02 -.70139E+01 -.29157E+02 -.76494E+02 -.16168E+01 
.48698 .30042E+02 .43388E+02 -.41149E+01 .13963E+02 -.83357E+02 -.78213E-01 
.49219 .13792E+02 .13805E+02 -.12085E+01 .65805E+02 -.90401E+02 .17925E+01 
.49740 .13505E+01 .17617E+01 .73307E+00 .90481E+02 -.93060E+02 .12668E+01 
