#Pressure fluctuations p:
#
#     rms        3rd moment      4th moment
0.89405465E+00 -0.53937744E-01 0.20323357E+01 
0.89316855E+00 -0.53604764E-01 0.20170709E+01 
0.89371012E+00 -0.53428457E-01 0.20162597E+01 
0.89505794E+00 -0.54141043E-01 0.20251360E+01 
0.89721234E+00 -0.55802383E-01 0.20439919E+01 
0.90019123E+00 -0.58581645E-01 0.20741004E+01 
0.90400478E+00 -0.62680976E-01 0.21167725E+01 
0.90864334E+00 -0.68287968E-01 0.21729038E+01 
0.91407761E+00 -0.75530830E-01 0.22429753E+01 
0.92026166E+00 -0.84424166E-01 0.23271004E+01 
0.92713562E+00 -0.94836514E-01 0.24248554E+01 
0.93463004E+00 -0.10651814E+00 0.25350956E+01 
0.94267295E+00 -0.11916826E+00 0.26560565E+01 
0.95119837E+00 -0.13248306E+00 0.27857525E+01 
0.96015569E+00 -0.14617364E+00 0.29224695E+01 
0.96951996E+00 -0.16000147E+00 0.30652564E+01 
0.97929935E+00 -0.17385912E+00 0.32144591E+01 
0.98952979E+00 -0.18781781E+00 0.33719995E+01 
0.10002515E+01 -0.20204728E+00 0.35408711E+01 
0.10114803E+01 -0.21668621E+00 0.37241257E+01 
0.10231978E+01 -0.23183458E+00 0.39243268E+01 
0.10353639E+01 -0.24766546E+00 0.41438597E+01 
0.10479311E+01 -0.26446323E+00 0.43853492E+01 
0.10608452E+01 -0.28247971E+00 0.46512321E+01 
0.10740374E+01 -0.30173302E+00 0.49425094E+01 
0.10874220E+01 -0.32191871E+00 0.52575660E+01 
0.11009014E+01 -0.34246286E+00 0.55919843E+01 
0.11143809E+01 -0.36266838E+00 0.59396607E+01 
0.11277896E+01 -0.38193949E+00 0.62948639E+01 
0.11411003E+01 -0.40004809E+00 0.66544568E+01 
0.11543356E+01 -0.41730842E+00 0.70192811E+01 
0.11675553E+01 -0.43450008E+00 0.73936936E+01 
0.11808293E+01 -0.45251678E+00 0.77829234E+01 
0.11942129E+01 -0.47195812E+00 0.81897790E+01 
0.12077378E+01 -0.49299734E+00 0.86137556E+01 
0.12214172E+01 -0.51554486E+00 0.90533712E+01 
0.12352494E+01 -0.53937771E+00 0.95083867E+01 
0.12492233E+01 -0.56419018E+00 0.99799064E+01 
0.12633410E+01 -0.58979905E+00 0.10470185E+02 
0.12776380E+01 -0.61641279E+00 0.10983521E+02 
0.12921741E+01 -0.64457003E+00 0.11526502E+02 
0.13070063E+01 -0.67471611E+00 0.12106480E+02 
0.13221644E+01 -0.70692271E+00 0.12729875E+02 
0.13376438E+01 -0.74096202E+00 0.13401631E+02 
0.13534180E+01 -0.77649049E+00 0.14125994E+02 
