#x SEM1
0.0793015 0.997096
0.501649 0.988371
0.740699 0.966616
1.05918 0.940507
1.4567 0.914392
1.90655 0.892622
2.40883 0.873747
2.88451 0.857772
3.49156 0.846136
4.07212 0.835951
4.67891 0.827213
5.18005 0.821382
5.78646 0.816992
6.55096 0.812591
7.02525 0.812559
7.63153 0.809618
8.29051 0.806674
8.8964 0.808082
9.47608 0.808042
10.082 0.809449
10.6349 0.813759
11.1879 0.818068
11.8728 0.81947
12.4517 0.828126
13.0309 0.833883
13.6629 0.838188
14.1631 0.842501
14.8476 0.8497
15.3476 0.856912
15.9791 0.867013
16.5582 0.87277
17.1112 0.87708
17.6902 0.884286
18.2428 0.892944
18.8744 0.901596
19.3745 0.907359
19.7428 0.91458
20.1899 0.923244
20.7685 0.936248
21.0577 0.943474
21.2426 0.937664
21.3735 0.9478
21.5585 0.940541
21.6098 0.95648
21.8476 0.949217
22.0043 0.965148
22.216 0.954989
22.2673 0.970927
22.4262 0.96222
22.5301 0.978155
22.6629 0.966552
22.8199 0.979585
23.2684 0.972307
23.4777 0.989684
23.689 0.983872
23.9512 0.998347
