# k=(1/2)<u_i u_i> budget
#
# y+           P+           TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.17850E+03  0.41568E-05  0.79801E-02  0.40877E-03 -0.48110E-03  0.22153E-03 -0.59481E-03  0.13277E-02 -0.82336E-03 -0.65908E-02  0.14522E-02
 0.17552E+03  0.39314E-04  0.94862E-02 -0.20098E-04 -0.11667E-02 -0.21047E-04 -0.15905E-04  0.56951E-03 -0.22425E-03 -0.76216E-02  0.10254E-02
 0.17254E+03  0.11583E-03  0.95025E-02  0.39639E-05 -0.13956E-02 -0.16599E-04 -0.52885E-05  0.50194E-03 -0.68067E-04 -0.77423E-02  0.89637E-03
 0.16957E+03  0.23386E-03  0.94445E-02  0.66781E-05 -0.14006E-02 -0.80658E-05 -0.33600E-05  0.48698E-03 -0.34222E-04 -0.78749E-02  0.85093E-03
 0.16661E+03  0.39182E-03  0.93321E-02  0.86742E-05 -0.13399E-02 -0.51986E-05 -0.26408E-05  0.47163E-03 -0.21076E-04 -0.80130E-02  0.82231E-03
 0.16365E+03  0.58759E-03  0.91693E-02  0.87742E-05 -0.12436E-02 -0.39761E-05 -0.19582E-05  0.46431E-03 -0.14537E-04 -0.81661E-02  0.79980E-03
 0.16071E+03  0.81785E-03  0.89745E-02  0.90486E-05 -0.11240E-02 -0.34301E-05 -0.55250E-06  0.45173E-03 -0.10921E-04 -0.83340E-02  0.78017E-03
 0.15778E+03  0.10798E-02  0.87557E-02  0.96865E-05 -0.99094E-03 -0.31492E-05  0.95194E-06  0.43351E-03 -0.86829E-05 -0.85130E-02  0.76390E-03
 0.15485E+03  0.13737E-02  0.85162E-02  0.10326E-04 -0.85495E-03 -0.29599E-05  0.16826E-05  0.41697E-03 -0.71427E-05 -0.87038E-02  0.75004E-03
 0.15194E+03  0.17031E-02  0.82623E-02  0.10691E-04 -0.72502E-03 -0.28383E-05  0.21342E-05  0.40485E-03 -0.60247E-05 -0.89126E-02  0.73656E-03
 0.14904E+03  0.20696E-02  0.80003E-02  0.10918E-04 -0.60698E-03 -0.28289E-05  0.30311E-05  0.40184E-03 -0.52050E-05 -0.91475E-02  0.72321E-03
 0.14615E+03  0.24706E-02  0.77399E-02  0.11093E-04 -0.50528E-03 -0.29132E-05  0.40985E-05  0.41242E-03 -0.46022E-05 -0.94127E-02  0.71265E-03
 0.14327E+03  0.29014E-02  0.75017E-02  0.11204E-04 -0.42626E-03 -0.29992E-05  0.47021E-05  0.42992E-03 -0.41629E-05 -0.97067E-02  0.70874E-03
 0.14041E+03  0.33612E-02  0.73047E-02  0.11256E-04 -0.37784E-03 -0.30471E-05  0.41729E-05  0.44245E-03 -0.38415E-05 -0.10025E-01  0.71373E-03
 0.13756E+03  0.38543E-02  0.71526E-02  0.11150E-04 -0.36364E-03 -0.31183E-05  0.23415E-05  0.43812E-03 -0.36152E-05 -0.10362E-01  0.72619E-03
 0.13472E+03  0.43864E-02  0.70302E-02  0.11173E-04 -0.37807E-03 -0.32964E-05  0.35236E-06  0.41447E-03 -0.34650E-05 -0.10715E-01  0.74284E-03
 0.13189E+03  0.49607E-02  0.69090E-02  0.11528E-04 -0.40907E-03 -0.35896E-05 -0.11172E-05  0.38960E-03 -0.33462E-05 -0.11092E-01  0.76168E-03
 0.12908E+03  0.55758E-02  0.67737E-02  0.11824E-04 -0.44530E-03 -0.39222E-05 -0.25618E-05  0.37250E-03 -0.32341E-05 -0.11498E-01  0.78052E-03
 0.12629E+03  0.62263E-02  0.66282E-02  0.11869E-04 -0.48020E-03 -0.42183E-05 -0.43076E-05  0.34773E-03 -0.31425E-05 -0.11927E-01  0.79539E-03
 0.12351E+03  0.69046E-02  0.64725E-02  0.11913E-04 -0.51082E-03 -0.44635E-05 -0.61092E-05  0.30985E-03 -0.30796E-05 -0.12371E-01  0.80372E-03
 0.12074E+03  0.76034E-02  0.62977E-02  0.12094E-04 -0.53464E-03 -0.46936E-05 -0.75787E-05  0.27519E-03 -0.30376E-05 -0.12833E-01  0.80526E-03
 0.11799E+03  0.83162E-02  0.61018E-02  0.12318E-04 -0.54818E-03 -0.49557E-05 -0.80032E-05  0.25929E-03 -0.30098E-05 -0.13323E-01  0.80246E-03
 0.11526E+03  0.90334E-02  0.59083E-02  0.12466E-04 -0.54886E-03 -0.52737E-05 -0.70708E-05  0.25133E-03 -0.29972E-05 -0.13844E-01  0.79737E-03
 0.11255E+03  0.97388E-02  0.57526E-02  0.12665E-04 -0.53775E-03 -0.56504E-05 -0.51986E-05  0.23179E-03 -0.29986E-05 -0.14394E-01  0.79060E-03
 0.10985E+03  0.10414E-01  0.56522E-02  0.13012E-04 -0.52028E-03 -0.60792E-05 -0.29153E-05  0.20571E-03 -0.30017E-05 -0.14970E-01  0.78243E-03
 0.10718E+03  0.11048E-01  0.56021E-02  0.13341E-04 -0.50534E-03 -0.65457E-05 -0.67639E-06  0.19805E-03 -0.29981E-05 -0.15572E-01  0.77306E-03
 0.10452E+03  0.11652E-01  0.55939E-02  0.13461E-04 -0.50318E-03 -0.70474E-05  0.94583E-06  0.22185E-03 -0.29950E-05 -0.16204E-01  0.76483E-03
 0.10188E+03  0.12257E-01  0.56210E-02  0.13516E-04 -0.52127E-03 -0.75944E-05  0.11611E-05  0.27088E-03 -0.30040E-05 -0.16870E-01  0.76203E-03
