# <u_r u_r> budget
#
# y+          P+(NC)      TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.17701E+03  0.00000E+00  0.44662E-02 -0.13309E-02 -0.19244E-02  0.54567E-03  0.25379E-02  0.35087E-03 -0.29107E-03 -0.41546E-02  0.19963E-03
 0.17403E+03  0.00000E+00  0.44679E-02 -0.13233E-02 -0.27424E-02  0.10457E-02  0.26375E-02  0.11069E-03 -0.37772E-04 -0.41179E-02  0.40511E-04
 0.17105E+03  0.00000E+00  0.43719E-02 -0.13490E-02 -0.28399E-02  0.12469E-02  0.26628E-02  0.85969E-04 -0.99538E-06 -0.41713E-02  0.64046E-05
 0.16808E+03  0.00000E+00  0.42752E-02 -0.13629E-02 -0.27624E-02  0.13160E-02  0.26650E-02  0.79779E-04  0.14202E-04 -0.42243E-02  0.61227E-06
 0.16513E+03  0.00000E+00  0.41580E-02 -0.13630E-02 -0.25974E-02  0.13253E-02  0.26552E-02  0.79323E-04  0.22662E-04 -0.42777E-02  0.23714E-05
 0.16218E+03  0.00000E+00  0.40218E-02 -0.13528E-02 -0.23769E-02  0.13007E-02  0.26391E-02  0.82205E-04  0.28047E-04 -0.43359E-02  0.62293E-05
 0.15924E+03  0.00000E+00  0.38708E-02 -0.13387E-02 -0.21190E-02  0.12539E-02  0.26251E-02  0.86884E-04  0.31503E-04 -0.44013E-02  0.91000E-05
 0.15631E+03  0.00000E+00  0.37094E-02 -0.13218E-02 -0.18447E-02  0.11922E-02  0.26248E-02  0.92460E-04  0.33234E-04 -0.44754E-02  0.10162E-04
 0.15340E+03  0.00000E+00  0.35437E-02 -0.12992E-02 -0.15751E-02  0.11214E-02  0.26469E-02  0.98151E-04  0.33607E-04 -0.45592E-02  0.10157E-04
 0.15049E+03  0.00000E+00  0.33790E-02 -0.12692E-02 -0.13250E-02  0.10462E-02  0.26961E-02  0.10330E-03  0.33278E-04 -0.46538E-02  0.98870E-05
 0.14759E+03  0.00000E+00  0.32155E-02 -0.12318E-02 -0.11029E-02  0.97022E-03  0.27779E-02  0.10724E-03  0.32899E-04 -0.47592E-02  0.97567E-05
 0.14471E+03  0.00000E+00  0.30533E-02 -0.11885E-02 -0.91818E-03  0.89618E-03  0.29004E-02  0.10899E-03  0.32939E-04 -0.48750E-02  0.10126E-04
 0.14184E+03  0.00000E+00  0.29015E-02 -0.11415E-02 -0.78686E-03  0.82692E-03  0.30708E-02  0.10751E-03  0.33631E-04 -0.50007E-02  0.11325E-04
 0.13898E+03  0.00000E+00  0.27738E-02 -0.10931E-02 -0.72451E-03  0.76542E-03  0.32902E-02  0.10385E-03  0.35015E-04 -0.51364E-02  0.14299E-04
 0.13613E+03  0.00000E+00  0.26772E-02 -0.10466E-02 -0.73004E-03  0.71417E-03  0.35506E-02  0.99749E-04  0.36968E-04 -0.52823E-02  0.19851E-04
 0.13330E+03  0.00000E+00  0.26047E-02 -0.10041E-02 -0.78224E-03  0.67410E-03  0.38384E-02  0.95483E-04  0.39166E-04 -0.54380E-02  0.27535E-04
 0.13048E+03  0.00000E+00  0.25386E-02 -0.96464E-03 -0.85405E-03  0.64443E-03  0.41419E-02  0.91940E-04  0.41263E-04 -0.56029E-02  0.36540E-04
