# <u_r u_z> budget
#
# y+           P+           TD+          TCR+         PD+          PCR+         PS+          VD+          VCR+         D+           balance
 0.17850E+03  0.21942E-03  0.10312E+00 -0.10264E+00  0.71832E-01 -0.71942E-01 -0.13272E-03  0.33358E-02 -0.34495E-02 -0.28631E-04  0.31431E-03
 0.17552E+03  0.71568E-03  0.35257E-01 -0.34828E-01  0.23372E-01 -0.23797E-01 -0.46225E-03  0.11124E-02 -0.11256E-02 -0.10180E-03  0.14207E-03
 0.17254E+03  0.12866E-02  0.21608E-01 -0.21193E-01  0.13326E-01 -0.14056E-01 -0.71124E-03  0.67194E-03 -0.67312E-03 -0.18041E-03  0.77666E-04
 0.16957E+03  0.18793E-02  0.15777E-01 -0.15317E-01  0.87475E-02 -0.97992E-02 -0.95562E-03  0.48372E-03 -0.48074E-03 -0.25390E-03  0.80886E-04
 0.16661E+03  0.24757E-02  0.12555E-01 -0.12035E-01  0.59764E-02 -0.73615E-02 -0.11971E-02  0.38256E-03 -0.37434E-03 -0.32989E-03  0.91376E-04
 0.16365E+03  0.30664E-02  0.10525E-01 -0.99549E-02  0.40561E-02 -0.57510E-02 -0.14442E-02  0.31895E-03 -0.30692E-03 -0.40672E-03  0.10292E-03
 0.16071E+03  0.36413E-02  0.91610E-02 -0.85515E-02  0.26287E-02 -0.45917E-02 -0.17077E-02  0.27403E-03 -0.26045E-03 -0.48365E-03  0.11008E-03
 0.15778E+03  0.41981E-02  0.82199E-02 -0.75636E-02  0.15060E-02 -0.37089E-02 -0.19849E-02  0.23603E-03 -0.22649E-03 -0.56116E-03  0.11506E-03
 0.15485E+03  0.47489E-02  0.75562E-02 -0.68416E-02  0.56663E-03 -0.30070E-02 -0.22643E-02  0.20311E-03 -0.20053E-03 -0.64092E-03  0.12062E-03
 0.15194E+03  0.53137E-02  0.70608E-02 -0.62943E-02 -0.25442E-03 -0.24281E-02 -0.25431E-02  0.17709E-03 -0.17997E-03 -0.72429E-03  0.12731E-03
