# Flatness factors of velocity and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	F(ur)	Flatness factor of radial velocity
#	F(ut)	Flatness factor of azimuthal velocity
#	F(uz)	Flatness factor of longitudinal velocity
#	F(p)	Flatness factor of pressure
#
# y+           y+           F(ur)        F(ut)        F(uz)        F(p)
#           (for F(ur))
 0.17850E+03  0.17701E+03  0.32663E+01  0.32592E+01  0.30567E+01  0.35856E+01
 0.17552E+03  0.17403E+03  0.32723E+01  0.32667E+01  0.30800E+01  0.35886E+01
 0.17254E+03  0.17105E+03  0.32771E+01  0.32734E+01  0.31174E+01  0.36064E+01
 0.16957E+03  0.16808E+03  0.32816E+01  0.32750E+01  0.31649E+01  0.36373E+01
 0.16661E+03  0.16513E+03  0.32856E+01  0.32740E+01  0.32148E+01  0.36772E+01
 0.16365E+03  0.16218E+03  0.32892E+01  0.32758E+01  0.32631E+01  0.37209E+01
 0.16071E+03  0.15924E+03  0.32927E+01  0.32861E+01  0.33095E+01  0.37667E+01
 0.15778E+03  0.15631E+03  0.32965E+01  0.33058E+01  0.33527E+01  0.38150E+01
 0.15485E+03  0.15340E+03  0.33010E+01  0.33317E+01  0.33897E+01  0.38645E+01
 0.15194E+03  0.15049E+03  0.33060E+01  0.33610E+01  0.34193E+01  0.39125E+01
 0.14904E+03  0.14759E+03  0.33113E+01  0.33915E+01  0.34427E+01  0.39560E+01
 0.14615E+03  0.14471E+03  0.33163E+01  0.34181E+01  0.34607E+01  0.39940E+01
 0.14327E+03  0.14184E+03  0.33206E+01  0.34342E+01  0.34748E+01  0.40282E+01
 0.14041E+03  0.13898E+03  0.33239E+01  0.34371E+01  0.34848E+01  0.40611E+01
 0.13756E+03  0.13613E+03  0.33261E+01  0.34287E+01  0.34895E+01  0.40938E+01
 0.13472E+03  0.13330E+03  0.33273E+01  0.34135E+01  0.34887E+01  0.41253E+01
 0.13189E+03  0.13048E+03  0.33275E+01  0.33943E+01  0.34818E+01  0.41534E+01
 0.12908E+03  0.12768E+03  0.33266E+01  0.33718E+01  0.34684E+01  0.41771E+01
 0.12629E+03  0.12489E+03  0.33244E+01  0.33466E+01  0.34502E+01  0.41967E+01
 0.12351E+03  0.12212E+03  0.33209E+01  0.33195E+01  0.34303E+01  0.42115E+01
 0.12074E+03  0.11936E+03  0.33166E+01  0.32929E+01  0.34109E+01  0.42195E+01
 0.11799E+03  0.11662E+03  0.33124E+01  0.32708E+01  0.33923E+01  0.42204E+01
 0.11526E+03  0.11390E+03  0.33089E+01  0.32563E+01  0.33740E+01  0.42163E+01
 0.11255E+03  0.11120E+03  0.33060E+01  0.32480E+01  0.33568E+01  0.42106E+01
 0.10985E+03  0.10851E+03  0.33031E+01  0.32434E+01  0.33428E+01  0.42066E+01
 0.10718E+03  0.10584E+03  0.32993E+01  0.32400E+01  0.33320E+01  0.42068E+01
 0.10452E+03  0.10320E+03  0.32941E+01  0.32354E+01  0.33211E+01  0.42124E+01
 0.10188E+03  0.10057E+03  0.32879E+01  0.32294E+01  0.33080E+01  0.42226E+01
 0.99266E+02  0.97964E+02  0.32814E+01  0.32234E+01  0.32932E+01  0.42341E+01
 0.96672E+02  0.95380E+02  0.32756E+01  0.32196E+01  0.32789E+01  0.42428E+01
 0.94100E+02  0.92819E+02  0.32710E+01  0.32208E+01  0.32670E+01  0.42475E+01
 0.91550E+02  0.90282E+02  0.32678E+01  0.32276E+01  0.32578E+01  0.42504E+01
 0.89025E+02  0.87768E+02  0.32655E+01  0.32379E+01  0.32507E+01  0.42550E+01
 0.86523E+02  0.85279E+02  0.32636E+01  0.32485E+01  0.32451E+01  0.42642E+01
 0.84047E+02  0.82815E+02  0.32615E+01  0.32579E+01  0.32405E+01  0.42796E+01
 0.81597E+02  0.80378E+02  0.32587E+01  0.32667E+01  0.32371E+01  0.42999E+01
 0.79173E+02  0.77968E+02  0.32552E+01  0.32757E+01  0.32351E+01  0.43224E+01
 0.76776E+02  0.75585E+02  0.32509E+01  0.32838E+01  0.32327E+01  0.43452E+01
 0.74408E+02  0.73231E+02  0.32464E+01  0.32897E+01  0.32296E+01  0.43675E+01
 0.72069E+02  0.70906E+02  0.32419E+01  0.32943E+01  0.32268E+01  0.43887E+01
 0.69759E+02  0.68612E+02  0.32380E+01  0.32989E+01  0.32243E+01  0.44091E+01
 0.67480E+02  0.66348E+02  0.32350E+01  0.33045E+01  0.32209E+01  0.44298E+01
 0.65232E+02  0.64116E+02  0.32333E+01  0.33118E+01  0.32163E+01  0.44512E+01
 0.63016E+02  0.61916E+02  0.32328E+01  0.33211E+01  0.32107E+01  0.44735E+01
 0.60833E+02  0.59750E+02  0.32340E+01  0.33316E+01  0.32043E+01  0.44961E+01
 0.58684E+02  0.57618E+02  0.32367E+01  0.33428E+01  0.31968E+01  0.45184E+01
 0.56569E+02  0.55520E+02  0.32412E+01  0.33548E+01  0.31863E+01  0.45411E+01
 0.54489E+02  0.53458E+02  0.32478E+01  0.33690E+01  0.31712E+01  0.45663E+01
 0.52446E+02  0.51433E+02  0.32572E+01  0.33851E+01  0.31516E+01  0.45962E+01
 0.50438E+02  0.49444E+02  0.32700E+01  0.34012E+01  0.31282E+01  0.46320E+01
 0.48469E+02  0.47493E+02  0.32869E+01  0.34162E+01  0.31021E+01  0.46741E+01
 0.46537E+02  0.45581E+02  0.33079E+01  0.34311E+01  0.30738E+01  0.47229E+01
 0.44644E+02  0.43707E+02  0.33332E+01  0.34456E+01  0.30430E+01  0.47766E+01
 0.42790E+02  0.41873E+02  0.33632E+01  0.34593E+01  0.30091E+01  0.48316E+01
 0.40977E+02  0.40080E+02  0.33986E+01  0.34728E+01  0.29715E+01  0.48848E+01
 0.39204E+02  0.38327E+02  0.34406E+01  0.34852E+01  0.29300E+01  0.49353E+01
 0.37472E+02  0.36616E+02  0.34901E+01  0.34944E+01  0.28849E+01  0.49853E+01
 0.35781E+02  0.34947E+02  0.35487E+01  0.35009E+01  0.28373E+01  0.50387E+01
 0.34133E+02  0.33319E+02  0.36176E+01  0.35080E+01  0.27880E+01  0.50988E+01
 0.32527E+02  0.31735E+02  0.36979E+01  0.35178E+01  0.27373E+01  0.51663E+01
 0.30964E+02  0.30193E+02  0.37907E+01  0.35294E+01  0.26857E+01  0.52404E+01
 0.29444E+02  0.28695E+02  0.38975E+01  0.35424E+01  0.26335E+01  0.53199E+01
 0.27968E+02  0.27240E+02  0.40194E+01  0.35585E+01  0.25815E+01  0.54019E+01
 0.26535E+02  0.25829E+02  0.41578E+01  0.35787E+01  0.25300E+01  0.54826E+01
