# Flatness factors of vorticity
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	F(wr)	Flatness factor of radial vorticity
#	F(wt)	Flatness factor of azimuthal vorticity
#	F(wz)	Flatness factor of longitudinal vorticity
#
# y+           y+           F(wr)        F(wt)        F(wz)
# (for F(wr))
 0.17850E+03  0.17701E+03  0.45429E+01  0.45161E+01  0.53777E+01
 0.17552E+03  0.17403E+03  0.45365E+01  0.45835E+01  0.54396E+01
 0.17254E+03  0.17105E+03  0.45798E+01  0.46578E+01  0.54826E+01
 0.16957E+03  0.16808E+03  0.46358E+01  0.46861E+01  0.54405E+01
 0.16661E+03  0.16513E+03  0.46990E+01  0.47160E+01  0.54369E+01
 0.16365E+03  0.16218E+03  0.47608E+01  0.47573E+01  0.54216E+01
 0.16071E+03  0.15924E+03  0.48161E+01  0.48547E+01  0.54338E+01
 0.15778E+03  0.15631E+03  0.48629E+01  0.49714E+01  0.54845E+01
 0.15485E+03  0.15340E+03  0.49000E+01  0.50973E+01  0.55476E+01
 0.15194E+03  0.15049E+03  0.49262E+01  0.52341E+01  0.56201E+01
 0.14904E+03  0.14759E+03  0.49401E+01  0.53590E+01  0.56939E+01
 0.14615E+03  0.14471E+03  0.49415E+01  0.54045E+01  0.57208E+01
 0.14327E+03  0.14184E+03  0.49339E+01  0.54264E+01  0.57003E+01
 0.14041E+03  0.13898E+03  0.49221E+01  0.54581E+01  0.56753E+01
 0.13756E+03  0.13613E+03  0.49101E+01  0.54393E+01  0.56583E+01
 0.13472E+03  0.13330E+03  0.48977E+01  0.54109E+01  0.56371E+01
 0.13189E+03  0.13048E+03  0.48830E+01  0.54461E+01  0.56277E+01
 0.12908E+03  0.12768E+03  0.48671E+01  0.55313E+01  0.56381E+01
 0.12629E+03  0.12489E+03  0.48538E+01  0.56122E+01  0.56491E+01
 0.12351E+03  0.12212E+03  0.48451E+01  0.56709E+01  0.56248E+01
 0.12074E+03  0.11936E+03  0.48395E+01  0.57326E+01  0.55470E+01
 0.11799E+03  0.11662E+03  0.48357E+01  0.58182E+01  0.54590E+01
 0.11526E+03  0.11390E+03  0.48324E+01  0.59371E+01  0.53857E+01
 0.11255E+03  0.11120E+03  0.48298E+01  0.60441E+01  0.53312E+01
 0.10985E+03  0.10851E+03  0.48297E+01  0.60932E+01  0.53010E+01
