# Mean velocities and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	Ur+	Mean radial velocity in wall unit 
#	Ut+	Mean azimuthal velocity in wall unit 
#	Uz+	Mean longitudinal velocity in wall unit 
#	P+	Mean pressure in wall unit 
#	dUz+/dr+	Mean shear stress in wall unit 
#
# y+           y+           Ur+          Ut+          Uz+          P+           dUz+/dr+
#            (for Ur+)
 0.17850E+03  0.17701E+03 -0.35597E-17 -0.54338E-02  0.19356E+02 -0.78403E+00 -0.52390E-03
 0.17552E+03  0.17403E+03 -0.17487E-17 -0.56552E-02  0.19353E+02 -0.78484E+00 -0.16652E-02
 0.17254E+03  0.17105E+03  0.84357E-17 -0.44753E-02  0.19347E+02 -0.78624E+00 -0.29289E-02
 0.16957E+03  0.16808E+03 -0.71191E-17 -0.38204E-02  0.19336E+02 -0.78768E+00 -0.42288E-02
 0.16661E+03  0.16513E+03  0.90228E-18 -0.32977E-02  0.19321E+02 -0.78912E+00 -0.55302E-02
 0.16365E+03  0.16218E+03 -0.46242E-17 -0.28798E-02  0.19303E+02 -0.79058E+00 -0.68097E-02
 0.16071E+03  0.15924E+03  0.10083E-16 -0.25184E-02  0.19281E+02 -0.79211E+00 -0.80457E-02
 0.15778E+03  0.15631E+03  0.36681E-18 -0.21592E-02  0.19256E+02 -0.79374E+00 -0.92313E-02
 0.15485E+03  0.15340E+03 -0.57555E-17 -0.17683E-02  0.19227E+02 -0.79555E+00 -0.10392E-01
 0.15194E+03  0.15049E+03  0.48529E-17 -0.13981E-02  0.19195E+02 -0.79762E+00 -0.11563E-01
 0.14904E+03  0.14759E+03 -0.90992E-17 -0.11847E-02  0.19160E+02 -0.80001E+00 -0.12772E-01
 0.14615E+03  0.14471E+03  0.12626E-16 -0.12718E-02  0.19121E+02 -0.80275E+00 -0.14028E-01
 0.14327E+03  0.14184E+03  0.10716E-16 -0.17410E-02  0.19079E+02 -0.80583E+00 -0.15311E-01
 0.14041E+03  0.13898E+03  0.30115E-17 -0.26028E-02  0.19033E+02 -0.80919E+00 -0.16598E-01
 0.13756E+03  0.13613E+03  0.21636E-17 -0.38130E-02  0.18984E+02 -0.81277E+00 -0.17871E-01
 0.13472E+03  0.13330E+03 -0.51382E-17 -0.52736E-02  0.18932E+02 -0.81647E+00 -0.19125E-01
 0.13189E+03  0.13048E+03  0.25810E-17 -0.68193E-02  0.18876E+02 -0.82024E+00 -0.20355E-01
 0.12908E+03  0.12768E+03 -0.89305E-17 -0.82632E-02  0.18817E+02 -0.82402E+00 -0.21536E-01
 0.12629E+03  0.12489E+03 -0.29145E-18 -0.94930E-02  0.18755E+02 -0.82780E+00 -0.22648E-01
 0.12351E+03  0.12212E+03  0.16337E-17 -0.10503E-01  0.18691E+02 -0.83157E+00 -0.23693E-01
 0.12074E+03  0.11936E+03 -0.69194E-17 -0.11343E-01  0.18624E+02 -0.83529E+00 -0.24692E-01
 0.11799E+03  0.11662E+03  0.12362E-17 -0.12062E-01  0.18555E+02 -0.83896E+00 -0.25661E-01
 0.11526E+03  0.11390E+03 -0.22405E-17 -0.12700E-01  0.18483E+02 -0.84255E+00 -0.26601E-01
 0.11255E+03  0.11120E+03 -0.33936E-17 -0.13272E-01  0.18410E+02 -0.84605E+00 -0.27493E-01
 0.10985E+03  0.10851E+03 -0.29068E-17 -0.13752E-01  0.18335E+02 -0.84948E+00 -0.28308E-01
 0.10718E+03  0.10584E+03 -0.84639E-17 -0.14092E-01  0.18258E+02 -0.85285E+00 -0.29037E-01
 0.10452E+03  0.10320E+03  0.17258E-17 -0.14265E-01  0.18180E+02 -0.85617E+00 -0.29706E-01
 0.10188E+03  0.10057E+03 -0.29088E-18 -0.14283E-01  0.18101E+02 -0.85943E+00 -0.30368E-01
 0.99266E+02  0.97964E+02  0.42156E-17 -0.14184E-01  0.18020E+02 -0.86260E+00 -0.31060E-01
 0.96672E+02  0.95380E+02 -0.20735E-17 -0.14027E-01  0.17939E+02 -0.86566E+00 -0.31794E-01
 0.94100E+02  0.92819E+02 -0.31419E-17 -0.13905E-01  0.17856E+02 -0.86860E+00 -0.32564E-01
 0.91550E+02  0.90282E+02  0.76425E-17 -0.13911E-01  0.17772E+02 -0.87142E+00 -0.33387E-01
