# Mean vorticities
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	Wr+	Mean radial vorticity in wall unit 
#	Wt+	Mean azimuthal vorticity in wall unit 
#	Wz+	Mean longitudinal vorticity in wall unit 
#
# y+           y+           Wr+          Wt+          Wz+           
# (for Wr+)
 0.17850E+03  0.17701E+03  0.97231E-18  0.10456E-02 -0.19277E-02
 0.17552E+03  0.17403E+03 -0.40190E-18  0.22825E-02 -0.45177E-03
 0.17254E+03  0.17105E+03  0.39266E-18  0.35769E-02 -0.24299E-03
 0.16957E+03  0.16808E+03 -0.80917E-18  0.48811E-02 -0.12220E-03
 0.16661E+03  0.16513E+03 -0.39423E-18  0.61792E-02 -0.66168E-04
 0.16365E+03  0.16218E+03  0.92542E-18  0.74418E-02 -0.28648E-04
 0.16071E+03  0.15924E+03  0.16456E-19  0.86502E-02  0.98152E-05
 0.15778E+03  0.15631E+03 -0.23863E-18  0.98136E-02  0.50820E-04
 0.15485E+03  0.15340E+03 -0.10161E-17  0.10970E-01  0.67639E-04
 0.15194E+03  0.15049E+03 -0.93652E-18  0.12156E-01  0.29778E-04
 0.14904E+03  0.14759E+03 -0.81824E-18  0.13389E-01 -0.68023E-04
 0.14615E+03  0.14471E+03  0.88590E-20  0.14665E-01 -0.20577E-03
 0.14327E+03  0.14184E+03  0.74831E-18  0.15958E-01 -0.35770E-03
 0.14041E+03  0.13898E+03 -0.74683E-18  0.17239E-01 -0.50248E-03
 0.13756E+03  0.13613E+03 -0.43573E-18  0.18501E-01 -0.61805E-03
 0.13472E+03  0.13330E+03  0.95899E-19  0.19748E-01 -0.67663E-03
 0.13189E+03  0.13048E+03 -0.28155E-18  0.20961E-01 -0.66598E-03
 0.12908E+03  0.12768E+03 -0.36393E-18  0.22111E-01 -0.60953E-03
 0.12629E+03  0.12489E+03 -0.92664E-18  0.23185E-01 -0.54481E-03
 0.12351E+03  0.12212E+03 -0.36152E-18  0.24201E-01 -0.49226E-03
 0.12074E+03  0.11936E+03 -0.32855E-18  0.25183E-01 -0.45468E-03
 0.11799E+03  0.11662E+03  0.33042E-18  0.26141E-01 -0.42909E-03
 0.11526E+03  0.11390E+03 -0.55001E-18  0.27063E-01 -0.40710E-03
 0.11255E+03  0.11120E+03 -0.18340E-19  0.27922E-01 -0.37454E-03
 0.10985E+03  0.10851E+03  0.55649E-18  0.28693E-01 -0.32185E-03
 0.10718E+03  0.10584E+03 -0.31651E-18  0.29381E-01 -0.25612E-03
 0.10452E+03  0.10320E+03 -0.53136E-18  0.30032E-01 -0.19282E-03
 0.10188E+03  0.10057E+03 -0.26907E-19  0.30703E-01 -0.14132E-03
 0.99266E+02  0.97964E+02  0.32460E-18  0.31419E-01 -0.11141E-03
 0.96672E+02  0.95380E+02 -0.36975E-18  0.32169E-01 -0.11758E-03
 0.94100E+02  0.92819E+02  0.55318E-18  0.32957E-01 -0.16197E-03
 0.91550E+02  0.90282E+02  0.95186E-19  0.33817E-01 -0.22631E-03
 0.89025E+02  0.87768E+02 -0.44397E-18  0.34778E-01 -0.29266E-03
 0.86523E+02  0.85279E+02  0.12775E-19  0.35833E-01 -0.36348E-03
 0.84047E+02  0.82815E+02  0.92061E-18  0.36949E-01 -0.45340E-03
 0.81597E+02  0.80378E+02  0.55009E-19  0.38070E-01 -0.55904E-03
 0.79173E+02  0.77968E+02  0.66447E-18  0.39152E-01 -0.64985E-03
 0.76776E+02  0.75585E+02  0.12668E-18  0.40180E-01 -0.69520E-03
 0.74408E+02  0.73231E+02  0.23310E-18  0.41168E-01 -0.68743E-03
 0.72069E+02  0.70906E+02  0.86227E-18  0.42149E-01 -0.63460E-03
 0.69759E+02  0.68612E+02 -0.51391E-18  0.43175E-01 -0.55185E-03
 0.67480E+02  0.66348E+02  0.43419E-18  0.44295E-01 -0.46300E-03
 0.65232E+02  0.64116E+02  0.24871E-18  0.45539E-01 -0.38363E-03
 0.63016E+02  0.61916E+02  0.32861E-18  0.46901E-01 -0.30186E-03
 0.60833E+02  0.59750E+02 -0.12756E-18  0.48367E-01 -0.18922E-03
 0.58684E+02  0.57618E+02  0.31702E-18  0.49954E-01 -0.25563E-04
