# RMS velocities and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	ur+,rms	RMS radial velocity in wall unit 
#	ut+,rms	RMS azimuthal velocity in wall unit 
#	uz+,rms	RMS longitudinal velocity in wall unit 
#	p+,rms	RMS pressure in wall unit 
#
# y+           y+           ur+,rms      ut+,rms      uz+,rms      p+,rms
#           (for ur+,rms)
 0.17850E+03  0.17701E+03  0.65496E+00  0.65384E+00  0.84947E+00  0.90586E+00
 0.17552E+03  0.17403E+03  0.65739E+00  0.65732E+00  0.85329E+00  0.90753E+00
 0.17254E+03  0.17105E+03  0.65944E+00  0.65985E+00  0.85812E+00  0.91187E+00
 0.16957E+03  0.16808E+03  0.66139E+00  0.66244E+00  0.86448E+00  0.91831E+00
 0.16661E+03  0.16513E+03  0.66337E+00  0.66537E+00  0.87239E+00  0.92647E+00
 0.16365E+03  0.16218E+03  0.66546E+00  0.66872E+00  0.88174E+00  0.93606E+00
 0.16071E+03  0.15924E+03  0.66770E+00  0.67255E+00  0.89243E+00  0.94685E+00
 0.15778E+03  0.15631E+03  0.67016E+00  0.67679E+00  0.90438E+00  0.95867E+00
 0.15485E+03  0.15340E+03  0.67287E+00  0.68131E+00  0.91746E+00  0.97144E+00
 0.15194E+03  0.15049E+03  0.67586E+00  0.68609E+00  0.93152E+00  0.98510E+00
 0.14904E+03  0.14759E+03  0.67916E+00  0.69120E+00  0.94635E+00  0.99957E+00
 0.14615E+03  0.14471E+03  0.68278E+00  0.69683E+00  0.96177E+00  0.10148E+01
 0.14327E+03  0.14184E+03  0.68672E+00  0.70319E+00  0.97768E+00  0.10306E+01
 0.14041E+03  0.13898E+03  0.69095E+00  0.71044E+00  0.99406E+00  0.10470E+01
 0.13756E+03  0.13613E+03  0.69543E+00  0.71870E+00  0.10109E+01  0.10638E+01
 0.13472E+03  0.13330E+03  0.70015E+00  0.72792E+00  0.10281E+01  0.10811E+01
 0.13189E+03  0.13048E+03  0.70506E+00  0.73788E+00  0.10456E+01  0.10988E+01
 0.12908E+03  0.12768E+03  0.71015E+00  0.74833E+00  0.10635E+01  0.11168E+01
 0.12629E+03  0.12489E+03  0.71538E+00  0.75918E+00  0.10814E+01  0.11352E+01
 0.12351E+03  0.12212E+03  0.72075E+00  0.77042E+00  0.10995E+01  0.11536E+01
 0.12074E+03  0.11936E+03  0.72623E+00  0.78195E+00  0.11173E+01  0.11721E+01
 0.11799E+03  0.11662E+03  0.73180E+00  0.79361E+00  0.11349E+01  0.11906E+01
 0.11526E+03  0.11390E+03  0.73741E+00  0.80526E+00  0.11523E+01  0.12091E+01
 0.11255E+03  0.11120E+03  0.74306E+00  0.81670E+00  0.11696E+01  0.12278E+01
 0.10985E+03  0.10851E+03  0.74872E+00  0.82769E+00  0.11870E+01  0.12468E+01
 0.10718E+03  0.10584E+03  0.75438E+00  0.83811E+00  0.12043E+01  0.12662E+01
 0.10452E+03  0.10320E+03  0.76001E+00  0.84803E+00  0.12215E+01  0.12859E+01
 0.10188E+03  0.10057E+03  0.76558E+00  0.85772E+00  0.12387E+01  0.13059E+01
 0.99266E+02  0.97964E+02  0.77109E+00  0.86740E+00  0.12560E+01  0.13262E+01
 0.96672E+02  0.95380E+02  0.77653E+00  0.87723E+00  0.12735E+01  0.13467E+01
 0.94100E+02  0.92819E+02  0.78190E+00  0.88732E+00  0.12915E+01  0.13674E+01
 0.91550E+02  0.90282E+02  0.78721E+00  0.89771E+00  0.13099E+01  0.13884E+01
