# RMS vorticities 
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	wr+,rms	RMS radial vorticity in wall unit 
#	wt+,rms	RMS azimuthal vorticity in wall unit 
#	wz+,rms	RMS longitudinal vorticity in wall unit 
#
# y+           y+           wr+,rms      wt+,rms      wz+,rms
# (for wr+,rms)
 0.17850E+03  0.17701E+03  0.51978E-01  0.51897E-01  0.43800E-01
 0.17552E+03  0.17403E+03  0.52310E-01  0.52479E-01  0.45557E-01
 0.17254E+03  0.17105E+03  0.52739E-01  0.53046E-01  0.46211E-01
 0.16957E+03  0.16808E+03  0.53193E-01  0.53573E-01  0.46631E-01
 0.16661E+03  0.16513E+03  0.53677E-01  0.54076E-01  0.47069E-01
 0.16365E+03  0.16218E+03  0.54197E-01  0.54569E-01  0.47588E-01
 0.16071E+03  0.15924E+03  0.54765E-01  0.55020E-01  0.48158E-01
 0.15778E+03  0.15631E+03  0.55379E-01  0.55411E-01  0.48789E-01
 0.15485E+03  0.15340E+03  0.56031E-01  0.55782E-01  0.49517E-01
 0.15194E+03  0.15049E+03  0.56712E-01  0.56220E-01  0.50366E-01
 0.14904E+03  0.14759E+03  0.57425E-01  0.56778E-01  0.51344E-01
 0.14615E+03  0.14471E+03  0.58185E-01  0.57459E-01  0.52429E-01
 0.14327E+03  0.14184E+03  0.59009E-01  0.58234E-01  0.53594E-01
 0.14041E+03  0.13898E+03  0.59907E-01  0.59052E-01  0.54812E-01
 0.13756E+03  0.13613E+03  0.60875E-01  0.59887E-01  0.56016E-01
 0.13472E+03  0.13330E+03  0.61899E-01  0.60762E-01  0.57206E-01
 0.13189E+03  0.13048E+03  0.62977E-01  0.61674E-01  0.58470E-01
 0.12908E+03  0.12768E+03  0.64113E-01  0.62577E-01  0.59837E-01
 0.12629E+03  0.12489E+03  0.65301E-01  0.63455E-01  0.61251E-01
 0.12351E+03  0.12212E+03  0.66528E-01  0.64354E-01  0.62663E-01
 0.12074E+03  0.11936E+03  0.67784E-01  0.65345E-01  0.64066E-01
 0.11799E+03  0.11662E+03  0.69071E-01  0.66447E-01  0.65482E-01
 0.11526E+03  0.11390E+03  0.70398E-01  0.67626E-01  0.66910E-01
 0.11255E+03  0.11120E+03  0.71773E-01  0.68835E-01  0.68359E-01
 0.10985E+03  0.10851E+03  0.73197E-01  0.70025E-01  0.69883E-01
 0.10718E+03  0.10584E+03  0.74661E-01  0.71188E-01  0.71523E-01
 0.10452E+03  0.10320E+03  0.76158E-01  0.72377E-01  0.73247E-01
 0.10188E+03  0.10057E+03  0.77690E-01  0.73677E-01  0.74997E-01
 0.99266E+02  0.97964E+02  0.79264E-01  0.75126E-01  0.76754E-01
 0.96672E+02  0.95380E+02  0.80893E-01  0.76658E-01  0.78539E-01
 0.94100E+02  0.92819E+02  0.82590E-01  0.78261E-01  0.80370E-01
 0.91550E+02  0.90282E+02  0.84365E-01  0.80063E-01  0.82268E-01
 0.89025E+02  0.87768E+02  0.86231E-01  0.82095E-01  0.84241E-01
 0.86523E+02  0.85279E+02  0.88204E-01  0.84245E-01  0.86289E-01
 0.84047E+02  0.82815E+02  0.90292E-01  0.86415E-01  0.88395E-01
 0.81597E+02  0.80378E+02  0.92490E-01  0.88545E-01  0.90558E-01
 0.79173E+02  0.77968E+02  0.94787E-01  0.90680E-01  0.92772E-01
 0.76776E+02  0.75585E+02  0.97168E-01  0.92876E-01  0.95012E-01
 0.74408E+02  0.73231E+02  0.99625E-01  0.95101E-01  0.97265E-01
 0.72069E+02  0.70906E+02  0.10215E+00  0.97362E-01  0.99519E-01
 0.69759E+02  0.68612E+02  0.10475E+00  0.99707E-01  0.10178E+00
 0.67480E+02  0.66348E+02  0.10743E+00  0.10224E+00  0.10404E+00
 0.65232E+02  0.64116E+02  0.11020E+00  0.10503E+00  0.10627E+00
 0.63016E+02  0.61916E+02  0.11307E+00  0.10795E+00  0.10846E+00
 0.60833E+02  0.59750E+02  0.11607E+00  0.11088E+00  0.11063E+00
 0.58684E+02  0.57618E+02  0.11917E+00  0.11385E+00  0.11279E+00
 0.56569E+02  0.55520E+02  0.12237E+00  0.11706E+00  0.11492E+00
 0.54489E+02  0.53458E+02  0.12568E+00  0.12053E+00  0.11702E+00
 0.52446E+02  0.51433E+02  0.12908E+00  0.12414E+00  0.11910E+00
 0.50438E+02  0.49444E+02  0.13259E+00  0.12783E+00  0.12115E+00
 0.48469E+02  0.47493E+02  0.13618E+00  0.13160E+00  0.12316E+00
 0.46537E+02  0.45581E+02  0.13985E+00  0.13554E+00  0.12510E+00
 0.44644E+02  0.43707E+02  0.14358E+00  0.13974E+00  0.12699E+00
 0.42790E+02  0.41873E+02  0.14738E+00  0.14419E+00  0.12885E+00
 0.40977E+02  0.40080E+02  0.15123E+00  0.14883E+00  0.13063E+00
 0.39204E+02  0.38327E+02  0.15512E+00  0.15359E+00  0.13231E+00
 0.37472E+02  0.36616E+02  0.15904E+00  0.15840E+00  0.13388E+00
 0.35781E+02  0.34947E+02  0.16296E+00  0.16331E+00  0.13531E+00
 0.34133E+02  0.33319E+02  0.16685E+00  0.16835E+00  0.13659E+00
 0.32527E+02  0.31735E+02  0.17069E+00  0.17352E+00  0.13778E+00
 0.30964E+02  0.30193E+02  0.17446E+00  0.17880E+00  0.13892E+00
 0.29444E+02  0.28695E+02  0.17813E+00  0.18416E+00  0.13996E+00
 0.27968E+02  0.27240E+02  0.18168E+00  0.18964E+00  0.14086E+00
 0.26535E+02  0.25829E+02  0.18510E+00  0.19529E+00  0.14160E+00
 0.25146E+02  0.24462E+02  0.18834E+00  0.20106E+00  0.14219E+00
 0.23800E+02  0.23138E+02  0.19138E+00  0.20684E+00  0.14262E+00
 0.22498E+02  0.21858E+02  0.19420E+00  0.21256E+00  0.14290E+00
 0.21239E+02  0.20621E+02  0.19674E+00  0.21817E+00  0.14301E+00
 0.20024E+02  0.19427E+02  0.19898E+00  0.22361E+00  0.14289E+00
 0.18851E+02  0.18276E+02  0.20087E+00  0.22884E+00  0.14252E+00
 0.17722E+02  0.17167E+02  0.20236E+00  0.23379E+00  0.14186E+00
 0.16634E+02  0.16101E+02  0.20340E+00  0.23836E+00  0.14091E+00
 0.15588E+02  0.15075E+02  0.20393E+00  0.24252E+00  0.13962E+00
 0.14582E+02  0.14090E+02  0.20390E+00  0.24621E+00  0.13796E+00
 0.13617E+02  0.13145E+02  0.20324E+00  0.24945E+00  0.13590E+00
 0.12691E+02  0.12238E+02  0.20187E+00  0.25231E+00  0.13341E+00
 0.11804E+02  0.11369E+02  0.19973E+00  0.25495E+00  0.13047E+00
 0.10953E+02  0.10537E+02  0.19676E+00  0.25760E+00  0.12706E+00
 0.10139E+02  0.97404E+01  0.19290E+00  0.26060E+00  0.12318E+00
 0.93591E+01  0.89778E+01  0.18809E+00  0.26432E+00  0.11887E+00
 0.86128E+01  0.82478E+01  0.18229E+00  0.26914E+00  0.11417E+00
 0.78985E+01  0.75491E+01  0.17548E+00  0.27536E+00  0.10921E+00
 0.72145E+01  0.68800E+01  0.16765E+00  0.28311E+00  0.10415E+00
 0.65593E+01  0.62387E+01  0.15881E+00  0.29235E+00  0.99247E-01
 0.59312E+01  0.56236E+01  0.14899E+00  0.30278E+00  0.94848E-01
 0.53281E+01  0.50327E+01  0.13826E+00  0.31393E+00  0.91421E-01
 0.47484E+01  0.44641E+01  0.12670E+00  0.32517E+00  0.89522E-01
 0.41900E+01  0.39159E+01  0.11441E+00  0.33582E+00  0.89711E-01
 0.36508E+01  0.33858E+01  0.10152E+00  0.34525E+00  0.92407E-01
 0.31288E+01  0.28719E+01  0.88180E-01  0.35293E+00  0.97753E-01
 0.26218E+01  0.23718E+01  0.74546E-01  0.35856E+00  0.10559E+00
 0.21275E+01  0.18833E+01  0.60772E-01  0.36208E+00  0.11558E+00
