# Skewness factors of velocity and pressure
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	S(ur)	Skewness factor of radial velocity
#	S(ut)	Skewness factor of azimuthal velocity
#	S(uz)	Skewness factor of longitudinal velocity
#	S(p)	Skewness factor of pressure
#
# y+           y+           S(ur)        S(ut)        S(uz)        S(p)
#           (for S(ur))
 0.17850E+03  0.17701E+03 -0.23298E-01 -0.14734E-01 -0.55154E+00 -0.16136E+00
 0.17552E+03  0.17403E+03 -0.47178E-01 -0.10223E-01 -0.55805E+00 -0.16386E+00
 0.17254E+03  0.17105E+03 -0.69532E-01 -0.89216E-02 -0.56749E+00 -0.17208E+00
 0.16957E+03  0.16808E+03 -0.90757E-01 -0.10363E-01 -0.57874E+00 -0.18462E+00
 0.16661E+03  0.16513E+03 -0.11073E+00 -0.12720E-01 -0.59051E+00 -0.20030E+00
 0.16365E+03  0.16218E+03 -0.12927E+00 -0.14466E-01 -0.60286E+00 -0.21780E+00
 0.16071E+03  0.15924E+03 -0.14625E+00 -0.15395E-01 -0.61587E+00 -0.23614E+00
 0.15778E+03  0.15631E+03 -0.16154E+00 -0.16290E-01 -0.62893E+00 -0.25480E+00
 0.15485E+03  0.15340E+03 -0.17509E+00 -0.17697E-01 -0.64138E+00 -0.27351E+00
 0.15194E+03  0.15049E+03 -0.18691E+00 -0.19659E-01 -0.65283E+00 -0.29204E+00
 0.14904E+03  0.14759E+03 -0.19703E+00 -0.21518E-01 -0.66300E+00 -0.31008E+00
 0.14615E+03  0.14471E+03 -0.20548E+00 -0.22169E-01 -0.67180E+00 -0.32740E+00
 0.14327E+03  0.14184E+03 -0.21231E+00 -0.21171E-01 -0.67979E+00 -0.34396E+00
 0.14041E+03  0.13898E+03 -0.21776E+00 -0.18619E-01 -0.68749E+00 -0.35979E+00
 0.13756E+03  0.13613E+03 -0.22213E+00 -0.15311E-01 -0.69443E+00 -0.37473E+00
 0.13472E+03  0.13330E+03 -0.22572E+00 -0.12855E-01 -0.69953E+00 -0.38833E+00
 0.13189E+03  0.13048E+03 -0.22868E+00 -0.12157E-01 -0.70184E+00 -0.39999E+00
 0.12908E+03  0.12768E+03 -0.23102E+00 -0.12810E-01 -0.70095E+00 -0.40929E+00
 0.12629E+03  0.12489E+03 -0.23271E+00 -0.13597E-01 -0.69725E+00 -0.41597E+00
 0.12351E+03  0.12212E+03 -0.23379E+00 -0.13537E-01 -0.69170E+00 -0.41977E+00
 0.12074E+03  0.11936E+03 -0.23440E+00 -0.12750E-01 -0.68509E+00 -0.42062E+00
 0.11799E+03  0.11662E+03 -0.23466E+00 -0.12167E-01 -0.67757E+00 -0.41898E+00
 0.11526E+03  0.11390E+03 -0.23466E+00 -0.12522E-01 -0.66896E+00 -0.41587E+00
 0.11255E+03  0.11120E+03 -0.23444E+00 -0.13073E-01 -0.65943E+00 -0.41250E+00
 0.10985E+03  0.10851E+03 -0.23401E+00 -0.11964E-01 -0.64972E+00 -0.40976E+00
 0.10718E+03  0.10584E+03 -0.23335E+00 -0.78551E-02 -0.64034E+00 -0.40799E+00
 0.10452E+03  0.10320E+03 -0.23248E+00 -0.48928E-03 -0.63135E+00 -0.40697E+00
 0.10188E+03  0.10057E+03 -0.23140E+00  0.91951E-02 -0.62284E+00 -0.40624E+00
 0.99266E+02  0.97964E+02 -0.23012E+00  0.19850E-01 -0.61508E+00 -0.40527E+00
 0.96672E+02  0.95380E+02 -0.22861E+00  0.30190E-01 -0.60825E+00 -0.40375E+00
 0.94100E+02  0.92819E+02 -0.22679E+00  0.39044E-01 -0.60245E+00 -0.40192E+00
 0.91550E+02  0.90282E+02 -0.22460E+00  0.45667E-01 -0.59754E+00 -0.40042E+00
 0.89025E+02  0.87768E+02 -0.22196E+00  0.49432E-01 -0.59321E+00 -0.39980E+00
 0.86523E+02  0.85279E+02 -0.21877E+00  0.50120E-01 -0.58919E+00 -0.40031E+00
 0.84047E+02  0.82815E+02 -0.21499E+00  0.48422E-01 -0.58539E+00 -0.40201E+00
 0.81597E+02  0.80378E+02 -0.21057E+00  0.45298E-01 -0.58199E+00 -0.40475E+00
 0.79173E+02  0.77968E+02 -0.20544E+00  0.41689E-01 -0.57919E+00 -0.40825E+00
 0.76776E+02  0.75585E+02 -0.19949E+00  0.38555E-01 -0.57700E+00 -0.41226E+00
 0.74408E+02  0.73231E+02 -0.19269E+00  0.36504E-01 -0.57553E+00 -0.41648E+00
 0.72069E+02  0.70906E+02 -0.18513E+00  0.35767E-01 -0.57485E+00 -0.42051E+00
 0.69759E+02  0.68612E+02 -0.17697E+00  0.36097E-01 -0.57461E+00 -0.42391E+00
 0.67480E+02  0.66348E+02 -0.16831E+00  0.36797E-01 -0.57444E+00 -0.42631E+00
 0.65232E+02  0.64116E+02 -0.15920E+00  0.37227E-01 -0.57417E+00 -0.42750E+00
 0.63016E+02  0.61916E+02 -0.14961E+00  0.37409E-01 -0.57375E+00 -0.42744E+00
 0.60833E+02  0.59750E+02 -0.13947E+00  0.38029E-01 -0.57311E+00 -0.42629E+00
 0.58684E+02  0.57618E+02 -0.12866E+00  0.39717E-01 -0.57189E+00 -0.42439E+00
 0.56569E+02  0.55520E+02 -0.11706E+00  0.42405E-01 -0.56939E+00 -0.42217E+00
 0.54489E+02  0.53458E+02 -0.10460E+00  0.45243E-01 -0.56524E+00 -0.42008E+00
 0.52446E+02  0.51433E+02 -0.91184E-01  0.47243E-01 -0.55961E+00 -0.41841E+00
 0.50438E+02  0.49444E+02 -0.76722E-01  0.48047E-01 -0.55296E+00 -0.41732E+00
 0.48469E+02  0.47493E+02 -0.61110E-01  0.48061E-01 -0.54568E+00 -0.41685E+00
 0.46537E+02  0.45581E+02 -0.44287E-01  0.47564E-01 -0.53792E+00 -0.41695E+00
 0.44644E+02  0.43707E+02 -0.26212E-01  0.46323E-01 -0.52963E+00 -0.41728E+00
 0.42790E+02  0.41873E+02 -0.68518E-02  0.43973E-01 -0.52067E+00 -0.41718E+00
 0.40977E+02  0.40080E+02  0.13866E-01  0.40549E-01 -0.51088E+00 -0.41597E+00
 0.39204E+02  0.38327E+02  0.35994E-01  0.36523E-01 -0.50020E+00 -0.41330E+00
 0.37472E+02  0.36616E+02  0.59494E-01  0.32418E-01 -0.48868E+00 -0.40934E+00
 0.35781E+02  0.34947E+02  0.84293E-01  0.28494E-01 -0.47634E+00 -0.40450E+00
 0.34133E+02  0.33319E+02  0.11032E+00  0.24870E-01 -0.46301E+00 -0.39910E+00
