# Skewness factors of vorticity
#
# Nomenclature
# 	y+	Distance from the wall in wall unit 
#	S(wr)	Skewness factor of radial vorticity
#	S(wt)	Skewness factor of azimuthal vorticity
#	S(wz)	Skewness factor of longitudinal vorticity
#
# y+           y+           S(wr)        S(wt)        S(wz)       
# (for S(wr))
 0.17850E+03  0.17701E+03  0.16519E-02  0.17428E-01  0.46633E-01
 0.17552E+03  0.17403E+03  0.39625E-02  0.57248E-01  0.14226E-01
 0.17254E+03  0.17105E+03  0.80525E-02  0.93026E-01 -0.53208E-02
 0.16957E+03  0.16808E+03  0.11679E-01  0.12747E+00 -0.20958E-01
 0.16661E+03  0.16513E+03  0.13856E-01  0.15430E+00 -0.37606E-01
 0.16365E+03  0.16218E+03  0.14516E-01  0.17514E+00 -0.38640E-01
 0.16071E+03  0.15924E+03  0.14362E-01  0.19615E+00 -0.29590E-01
 0.15778E+03  0.15631E+03  0.13843E-01  0.21811E+00 -0.24506E-01
 0.15485E+03  0.15340E+03  0.13665E-01  0.24454E+00 -0.23578E-01
 0.15194E+03  0.15049E+03  0.14536E-01  0.27250E+00 -0.29073E-01
 0.14904E+03  0.14759E+03  0.16370E-01  0.30576E+00 -0.43013E-01
 0.14615E+03  0.14471E+03  0.18657E-01  0.34306E+00 -0.51612E-01
 0.14327E+03  0.14184E+03  0.20877E-01  0.38026E+00 -0.54703E-01
 0.14041E+03  0.13898E+03  0.22720E-01  0.41770E+00 -0.57391E-01
 0.13756E+03  0.13613E+03  0.24341E-01  0.44836E+00 -0.59170E-01
 0.13472E+03  0.13330E+03  0.25929E-01  0.47583E+00 -0.55389E-01
 0.13189E+03  0.13048E+03  0.27601E-01  0.50940E+00 -0.39259E-01
 0.12908E+03  0.12768E+03  0.29286E-01  0.54074E+00 -0.21204E-01
 0.12629E+03  0.12489E+03  0.30637E-01  0.55725E+00 -0.11634E-01
 0.12351E+03  0.12212E+03  0.31392E-01  0.55949E+00 -0.49435E-02
 0.12074E+03  0.11936E+03  0.31545E-01  0.56157E+00  0.33655E-02
 0.11799E+03  0.11662E+03  0.31263E-01  0.57620E+00  0.14604E-01
 0.11526E+03  0.11390E+03  0.30881E-01  0.60472E+00  0.26220E-01
 0.11255E+03  0.11120E+03  0.30748E-01  0.63645E+00  0.35720E-01
 0.10985E+03  0.10851E+03  0.30937E-01  0.65862E+00  0.48506E-01
 0.10718E+03  0.10584E+03  0.31158E-01  0.67522E+00  0.58750E-01
 0.10452E+03  0.10320E+03  0.31108E-01  0.69389E+00  0.63545E-01
 0.10188E+03  0.10057E+03  0.30834E-01  0.71657E+00  0.64372E-01
 0.99266E+02  0.97964E+02  0.30329E-01  0.74088E+00  0.61637E-01
 0.96672E+02  0.95380E+02  0.29127E-01  0.75631E+00  0.52058E-01
 0.94100E+02  0.92819E+02  0.26657E-01  0.75780E+00  0.32308E-01
 0.91550E+02  0.90282E+02  0.23261E-01  0.76616E+00  0.10473E-01
 0.89025E+02  0.87768E+02  0.19755E-01  0.79745E+00 -0.35747E-02
 0.86523E+02  0.85279E+02  0.16178E-01  0.83912E+00 -0.12658E-01
 0.84047E+02  0.82815E+02  0.12318E-01  0.87447E+00 -0.21213E-01
 0.81597E+02  0.80378E+02  0.84575E-02  0.89474E+00 -0.29886E-01
 0.79173E+02  0.77968E+02  0.45536E-02  0.91708E+00 -0.36077E-01
 0.76776E+02  0.75585E+02  0.89659E-03  0.94743E+00 -0.34782E-01
 0.74408E+02  0.73231E+02 -0.19556E-02  0.97073E+00 -0.27828E-01
 0.72069E+02  0.70906E+02 -0.42074E-02  0.98709E+00 -0.18315E-01
 0.69759E+02  0.68612E+02 -0.59570E-02  0.99797E+00 -0.68202E-02
 0.67480E+02  0.66348E+02 -0.69285E-02  0.10094E+01  0.39478E-02
 0.65232E+02  0.64116E+02 -0.71496E-02  0.10248E+01  0.10626E-01
 0.63016E+02  0.61916E+02 -0.71867E-02  0.10363E+01  0.11916E-01
 0.60833E+02  0.59750E+02 -0.71120E-02  0.10392E+01  0.11147E-01
 0.58684E+02  0.57618E+02 -0.56969E-02  0.10399E+01  0.93415E-02
 0.56569E+02  0.55520E+02 -0.26984E-02  0.10468E+01  0.40126E-02
 0.54489E+02  0.53458E+02  0.12080E-02  0.10587E+01 -0.95528E-03
 0.52446E+02  0.51433E+02  0.48138E-02  0.10725E+01  0.24988E-03
 0.50438E+02  0.49444E+02  0.77715E-02  0.10821E+01  0.22597E-02
 0.48469E+02  0.47493E+02  0.10460E-01  0.10914E+01  0.16622E-02
 0.46537E+02  0.45581E+02  0.12731E-01  0.11012E+01 -0.29952E-02
 0.44644E+02  0.43707E+02  0.14633E-01  0.11160E+01 -0.93510E-02
 0.42790E+02  0.41873E+02  0.16217E-01  0.11335E+01 -0.15859E-01
 0.40977E+02  0.40080E+02  0.17501E-01  0.11531E+01 -0.20481E-01
 0.39204E+02  0.38327E+02  0.18557E-01  0.11734E+01 -0.22612E-01
 0.37472E+02  0.36616E+02  0.19104E-01  0.11880E+01 -0.23321E-01
 0.35781E+02  0.34947E+02  0.18969E-01  0.11959E+01 -0.24863E-01
 0.34133E+02  0.33319E+02  0.18231E-01  0.11961E+01 -0.23810E-01
 0.32527E+02  0.31735E+02  0.16984E-01  0.11855E+01 -0.22419E-01
 0.30964E+02  0.30193E+02  0.15546E-01  0.11678E+01 -0.23969E-01
 0.29444E+02  0.28695E+02  0.14002E-01  0.11418E+01 -0.25739E-01
 0.27968E+02  0.27240E+02  0.12526E-01  0.11108E+01 -0.24646E-01
 0.26535E+02  0.25829E+02  0.11305E-01  0.10777E+01 -0.22463E-01
 0.25146E+02  0.24462E+02  0.10107E-01  0.10431E+01 -0.22383E-01
 0.23800E+02  0.23138E+02  0.85992E-02  0.10036E+01 -0.22873E-01
 0.22498E+02  0.21858E+02  0.67372E-02  0.95764E+00 -0.22485E-01
 0.21239E+02  0.20621E+02  0.48404E-02  0.90694E+00 -0.22865E-01
 0.20024E+02  0.19427E+02  0.31106E-02  0.85223E+00 -0.26691E-01
 0.18851E+02  0.18276E+02  0.15370E-02  0.79638E+00 -0.33103E-01
 0.17722E+02  0.17167E+02  0.95939E-04  0.74293E+00 -0.38144E-01
 0.16634E+02  0.16101E+02 -0.11745E-02  0.69422E+00 -0.41092E-01
 0.15588E+02  0.15075E+02 -0.21788E-02  0.65233E+00 -0.42940E-01
 0.14582E+02  0.14090E+02 -0.27806E-02  0.61976E+00 -0.44146E-01
 0.13617E+02  0.13145E+02 -0.28812E-02  0.59911E+00 -0.45590E-01
