# azimuthal spacing
#  (rdt)+      (rdt)+        R_rr         R_tt         R_zz         R_pp
#            (for R_rr)
 0.00000E+00  0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.68243E+01  0.68683E+01  0.82139E+00  0.93350E+00  0.88784E+00  0.94067E+00
 0.13649E+02  0.13737E+02  0.48481E+00  0.79269E+00  0.66578E+00  0.80038E+00
 0.20473E+02  0.20605E+02  0.18969E+00  0.63519E+00  0.44165E+00  0.64298E+00
 0.27297E+02  0.27473E+02 -0.86057E-02  0.49112E+00  0.25206E+00  0.50721E+00
 0.34121E+02  0.34342E+02 -0.11820E+00  0.37146E+00  0.10467E+00  0.40401E+00
 0.40946E+02  0.41210E+02 -0.16339E+00  0.27721E+00 -0.23015E-02  0.33066E+00
 0.47770E+02  0.48078E+02 -0.16794E+00  0.20521E+00 -0.74276E-01  0.28041E+00
 0.54594E+02  0.54947E+02 -0.15036E+00  0.15099E+00 -0.11799E+00  0.24654E+00
 0.61419E+02  0.61815E+02 -0.12375E+00  0.11028E+00 -0.14047E+00  0.22363E+00
 0.68243E+02  0.68683E+02 -0.96244E-01  0.79553E-01 -0.14808E+00  0.20769E+00
 0.75067E+02  0.75551E+02 -0.71751E-01  0.56209E-01 -0.14571E+00  0.19600E+00
 0.81892E+02  0.82420E+02 -0.51835E-01  0.38405E-01 -0.13679E+00  0.18689E+00
 0.88716E+02  0.89288E+02 -0.36302E-01  0.24837E-01 -0.12360E+00  0.17959E+00
 0.95540E+02  0.96156E+02 -0.23950E-01  0.14561E-01 -0.10752E+00  0.17382E+00
 0.10236E+03  0.10302E+03 -0.14212E-01  0.68467E-02 -0.89813E-01  0.16938E+00
 0.10919E+03  0.10989E+03 -0.68566E-02  0.11227E-02 -0.71703E-01  0.16596E+00
 0.11601E+03  0.11676E+03 -0.95680E-03 -0.30397E-02 -0.54461E-01  0.16319E+00
 0.12284E+03  0.12363E+03  0.42916E-02 -0.58943E-02 -0.39280E-01  0.16078E+00
 0.12966E+03  0.13050E+03  0.90354E-02 -0.76441E-02 -0.27197E-01  0.15852E+00
 0.13649E+03  0.13737E+03  0.12408E-01 -0.86092E-02 -0.18600E-01  0.15635E+00
 0.14331E+03  0.14423E+03  0.13701E-01 -0.91365E-02 -0.13431E-01  0.15425E+00
 0.15013E+03  0.15110E+03  0.13210E-01 -0.94554E-02 -0.11441E-01  0.15220E+00
 0.15696E+03  0.15797E+03  0.11614E-01 -0.97954E-02 -0.12525E-01  0.15012E+00
 0.16378E+03  0.16484E+03  0.90112E-02 -0.10298E-01 -0.16627E-01  0.14781E+00
 0.17061E+03  0.17171E+03  0.53292E-02 -0.11002E-01 -0.22979E-01  0.14511E+00
 0.17743E+03  0.17858E+03  0.44301E-03 -0.11807E-01 -0.30157E-01  0.14194E+00
 0.18426E+03  0.18544E+03 -0.51140E-02 -0.12592E-01 -0.37263E-01  0.13838E+00
 0.19108E+03  0.19231E+03 -0.10365E-01 -0.13298E-01 -0.43691E-01  0.13451E+00
 0.19790E+03  0.19918E+03 -0.14811E-01 -0.13920E-01 -0.48859E-01  0.13049E+00
 0.20473E+03  0.20605E+03 -0.17934E-01 -0.14426E-01 -0.52064E-01  0.12655E+00
 0.21155E+03  0.21292E+03 -0.18919E-01 -0.14740E-01 -0.52531E-01  0.12292E+00
 0.21838E+03  0.21979E+03 -0.17531E-01 -0.14738E-01 -0.50165E-01  0.11980E+00
 0.22520E+03  0.22665E+03 -0.14266E-01 -0.14428E-01 -0.45420E-01  0.11733E+00
 0.23203E+03  0.23352E+03 -0.95727E-02 -0.13845E-01 -0.38650E-01  0.11556E+00
 0.23885E+03  0.24039E+03 -0.39247E-02 -0.13051E-01 -0.30176E-01  0.11444E+00
 0.24567E+03  0.24726E+03  0.23423E-02 -0.12124E-01 -0.20650E-01  0.11381E+00
 0.25250E+03  0.25413E+03  0.85088E-02 -0.11133E-01 -0.11017E-01  0.11341E+00
 0.25932E+03  0.26100E+03  0.13228E-01 -0.10184E-01 -0.24790E-02  0.11310E+00
 0.26615E+03  0.26786E+03  0.15789E-01 -0.93927E-02  0.42746E-02  0.11286E+00
 0.27297E+03  0.27473E+03  0.16550E-01 -0.86831E-02  0.91935E-02  0.11275E+00
 0.27980E+03  0.28160E+03  0.16412E-01 -0.78469E-02  0.12463E-01  0.11275E+00
 0.28662E+03  0.28847E+03  0.15880E-01 -0.67810E-02  0.14607E-01  0.11272E+00
 0.29344E+03  0.29534E+03  0.14858E-01 -0.55849E-02  0.15590E-01  0.11248E+00
 0.30027E+03  0.30221E+03  0.12909E-01 -0.44132E-02  0.14998E-01  0.11196E+00
 0.30709E+03  0.30907E+03  0.10090E-01 -0.34179E-02  0.12825E-01  0.11122E+00
 0.31392E+03  0.31594E+03  0.67132E-02 -0.26904E-02  0.94821E-02  0.11043E+00
 0.32074E+03  0.32281E+03  0.30927E-02 -0.23059E-02  0.53342E-02  0.10962E+00
 0.32757E+03  0.32968E+03 -0.40158E-03 -0.22428E-02  0.11191E-02  0.10876E+00
 0.33439E+03  0.33655E+03 -0.30294E-02 -0.25551E-02 -0.25892E-02  0.10783E+00
 0.34121E+03  0.34342E+03 -0.39998E-02 -0.33356E-02 -0.53516E-02  0.10687E+00
 0.34804E+03  0.35028E+03 -0.32238E-02 -0.45484E-02 -0.68587E-02  0.10590E+00
 0.35486E+03  0.35715E+03 -0.16421E-02 -0.60630E-02 -0.70063E-02  0.10487E+00
 0.36169E+03  0.36402E+03 -0.51279E-03 -0.78133E-02 -0.62265E-02  0.10374E+00
 0.36851E+03  0.37089E+03 -0.76798E-03 -0.97859E-02 -0.48866E-02  0.10254E+00
 0.37534E+03  0.37776E+03 -0.24151E-02 -0.11981E-01 -0.30302E-02  0.10145E+00
 0.38216E+03  0.38463E+03 -0.47919E-02 -0.14358E-01 -0.89410E-03  0.10064E+00
 0.38898E+03  0.39149E+03 -0.71362E-02 -0.16853E-01  0.14034E-02  0.10020E+00
 0.39581E+03  0.39836E+03 -0.85170E-02 -0.19435E-01  0.38447E-02  0.10015E+00
 0.40263E+03  0.40523E+03 -0.83091E-02 -0.22136E-01  0.65377E-02  0.10041E+00
 0.40946E+03  0.41210E+03 -0.62039E-02 -0.24889E-01  0.94174E-02  0.10093E+00
 0.41628E+03  0.41897E+03 -0.28206E-02 -0.27486E-01  0.12147E-01  0.10166E+00
 0.42311E+03  0.42584E+03  0.32197E-03 -0.29662E-01  0.14313E-01  0.10253E+00
 0.42993E+03  0.43270E+03  0.21799E-02 -0.31152E-01  0.15622E-01  0.10330E+00
 0.43675E+03  0.43957E+03  0.27521E-02 -0.31686E-01  0.16030E-01  0.10362E+00
 0.44358E+03  0.44644E+03  0.21799E-02 -0.31152E-01  0.15622E-01  0.10330E+00
