# longitudinal spacing
#   dz+         R_rr         R_tt         R_zz         R_pp
 0.00000E+00  0.10000E+01  0.10000E+01  0.10000E+01  0.10000E+01
 0.70312E+01  0.96478E+00  0.98385E+00  0.99558E+00  0.96904E+00
 0.14062E+02  0.87513E+00  0.93928E+00  0.98315E+00  0.88420E+00
 0.21094E+02  0.76135E+00  0.87505E+00  0.96439E+00  0.76460E+00
 0.28125E+02  0.64555E+00  0.79992E+00  0.94091E+00  0.63115E+00
 0.35156E+02  0.53957E+00  0.72070E+00  0.91402E+00  0.50032E+00
 0.42188E+02  0.44878E+00  0.64235E+00  0.88488E+00  0.38241E+00
 0.49219E+02  0.37381E+00  0.56825E+00  0.85442E+00  0.28241E+00
 0.56250E+02  0.31284E+00  0.50034E+00  0.82335E+00  0.20148E+00
 0.63281E+02  0.26360E+00  0.43946E+00  0.79220E+00  0.13839E+00
 0.70312E+02  0.22394E+00  0.38573E+00  0.76139E+00  0.90720E-01
 0.77344E+02  0.19192E+00  0.33882E+00  0.73121E+00  0.55669E-01
 0.84375E+02  0.16589E+00  0.29816E+00  0.70187E+00  0.30562E-01
 0.91406E+02  0.14456E+00  0.26307E+00  0.67350E+00  0.13055E-01
 0.98438E+02  0.12696E+00  0.23282E+00  0.64620E+00  0.12190E-02
 0.10547E+03  0.11235E+00  0.20678E+00  0.62003E+00 -0.64768E-02
 0.11250E+03  0.10013E+00  0.18434E+00  0.59501E+00 -0.11214E-01
 0.11953E+03  0.89812E-01  0.16500E+00  0.57113E+00 -0.13893E-01
 0.12656E+03  0.80975E-01  0.14826E+00  0.54838E+00 -0.15180E-01
 0.13359E+03  0.73315E-01  0.13373E+00  0.52671E+00 -0.15554E-01
 0.14062E+03  0.66597E-01  0.12104E+00  0.50610E+00 -0.15339E-01
 0.14766E+03  0.60632E-01  0.10989E+00  0.48650E+00 -0.14754E-01
 0.15469E+03  0.55284E-01  0.10007E+00  0.46787E+00 -0.13943E-01
 0.16172E+03  0.50472E-01  0.91381E-01  0.45016E+00 -0.12995E-01
 0.16875E+03  0.46134E-01  0.83693E-01  0.43333E+00 -0.11973E-01
 0.17578E+03  0.42226E-01  0.76886E-01  0.41735E+00 -0.10923E-01
 0.18281E+03  0.38733E-01  0.70850E-01  0.40218E+00 -0.98839E-02
 0.18984E+03  0.35652E-01  0.65478E-01  0.38776E+00 -0.88856E-02
 0.19688E+03  0.32953E-01  0.60669E-01  0.37406E+00 -0.79544E-02
 0.20391E+03  0.30573E-01  0.56334E-01  0.36103E+00 -0.71141E-02
 0.21094E+03  0.28436E-01  0.52392E-01  0.34863E+00 -0.63791E-02
 0.21797E+03  0.26480E-01  0.48773E-01  0.33681E+00 -0.57438E-02
 0.22500E+03  0.24648E-01  0.45421E-01  0.32555E+00 -0.51817E-02
