# r/D;g;g'
-5.000000000000000000e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.938000000000000167e-01;0.000000000000000000e+00;0.000000000000000000e+00
-4.877000000000000224e-01;5.000000000000000104e-03;4.499999999999999660e-03
-4.814999999999999836e-01;4.499999999999999660e-03;4.400000000000000265e-03
-4.753000000000000003e-01;3.899999999999999821e-03;4.300000000000000003e-03
-4.691000000000000170e-01;3.899999999999999821e-03;4.100000000000000346e-03
-4.630000000000000226e-01;3.500000000000000073e-03;4.000000000000000083e-03
-4.567999999999999838e-01;3.200000000000000153e-03;3.899999999999999821e-03
-4.506000000000000005e-01;2.799999999999999972e-03;3.899999999999999821e-03
-4.444000000000000172e-01;2.899999999999999800e-03;4.100000000000000346e-03
-4.383000000000000229e-01;3.099999999999999891e-03;1.770000000000000046e-02
-4.320999999999999841e-01;4.000000000000000083e-03;3.649999999999999772e-02
-4.259000000000000008e-01;4.199999999999999740e-03;4.170000000000000095e-02
-4.198000000000000065e-01;4.700000000000000185e-03;4.159999999999999809e-02
-4.135999999999999677e-01;4.599999999999999922e-03;4.070000000000000007e-02
-4.073999999999999844e-01;4.300000000000000003e-03;2.510000000000000078e-02
-4.012000000000000011e-01;3.899999999999999821e-03;7.000000000000000146e-03
-3.951000000000000068e-01;3.899999999999999821e-03;4.100000000000000346e-03
-3.889000000000000234e-01;3.399999999999999811e-03;4.000000000000000083e-03
-3.826999999999999846e-01;3.000000000000000062e-03;3.899999999999999821e-03
-3.765000000000000013e-01;2.299999999999999961e-03;3.899999999999999821e-03
-3.704000000000000070e-01;1.899999999999999996e-03;3.899999999999999821e-03
-3.641999999999999682e-01;2.200000000000000133e-03;3.899999999999999821e-03
-3.579999999999999849e-01;2.099999999999999870e-03;4.000000000000000083e-03
-3.518999999999999906e-01;2.500000000000000052e-03;4.000000000000000083e-03
-3.457000000000000073e-01;3.099999999999999891e-03;4.000000000000000083e-03
-3.395000000000000240e-01;3.200000000000000153e-03;4.000000000000000083e-03
-3.333000000000000407e-01;3.299999999999999982e-03;4.000000000000000083e-03
-3.271999999999999909e-01;3.700000000000000164e-03;3.899999999999999821e-03
-3.210000000000000075e-01;3.700000000000000164e-03;3.899999999999999821e-03
-3.147999999999999687e-01;3.799999999999999992e-03;3.899999999999999821e-03
-3.085999999999999854e-01;3.899999999999999821e-03;3.899999999999999821e-03
-3.024999999999999911e-01;3.799999999999999992e-03;3.799999999999999992e-03
-2.963000000000000078e-01;3.799999999999999992e-03;3.899999999999999821e-03
-2.901000000000000245e-01;4.199999999999999740e-03;3.899999999999999821e-03
-2.840000000000000302e-01;4.499999999999999660e-03;3.899999999999999821e-03
-2.777999999999999914e-01;5.199999999999999761e-03;4.000000000000000083e-03
-2.716000000000000081e-01;5.899999999999999863e-03;4.199999999999999740e-03
-2.653999999999999693e-01;7.000000000000000146e-03;4.300000000000000003e-03
-2.592999999999999750e-01;7.100000000000000408e-03;4.400000000000000265e-03
-2.530999999999999917e-01;7.599999999999999985e-03;4.300000000000000003e-03
-2.469000000000000083e-01;8.000000000000000167e-03;4.300000000000000003e-03
-2.407000000000000250e-01;8.500000000000000611e-03;4.300000000000000003e-03
-2.345999999999999752e-01;8.699999999999999400e-03;4.199999999999999740e-03
-2.283999999999999919e-01;9.799999999999999684e-03;4.300000000000000003e-03
-2.222000000000000086e-01;1.099999999999999936e-02;4.400000000000000265e-03
-2.160000000000000253e-01;1.239999999999999956e-02;4.599999999999999922e-03
-2.098999999999999755e-01;1.420000000000000082e-02;4.799999999999999580e-03
-2.036999999999999922e-01;1.590000000000000094e-02;4.799999999999999580e-03
-1.975000000000000089e-01;1.799999999999999864e-02;4.799999999999999580e-03
-1.914000000000000146e-01;2.040000000000000147e-02;4.899999999999999842e-03
-1.851999999999999758e-01;2.259999999999999856e-02;4.899999999999999842e-03
-1.789999999999999925e-01;2.479999999999999913e-02;5.000000000000000104e-03
-1.728000000000000091e-01;2.800000000000000058e-02;5.300000000000000024e-03
-1.667000000000000148e-01;3.080000000000000099e-02;5.499999999999999681e-03
-1.604999999999999760e-01;3.379999999999999671e-02;5.499999999999999681e-03
-1.542999999999999927e-01;3.719999999999999696e-02;5.700000000000000205e-03
-1.481000000000000094e-01;4.120000000000000051e-02;6.000000000000000125e-03
-1.420000000000000151e-01;4.529999999999999999e-02;6.499999999999999702e-03
-1.357999999999999763e-01;5.109999999999999959e-02;7.000000000000000146e-03
-1.295999999999999930e-01;5.790000000000000008e-02;8.699999999999999400e-03
-1.234999999999999987e-01;7.320000000000000118e-02;1.849999999999999908e-02
-1.173000000000000154e-01;1.098999999999999977e-01;3.679999999999999938e-02
-1.110999999999999766e-01;1.809999999999999942e-01;5.559999999999999665e-02
-1.048999999999999932e-01;2.861000000000000210e-01;6.840000000000000246e-02
-9.879999999999999893e-02;4.176000000000000267e-01;7.389999999999999347e-02
-9.260000000000001563e-02;5.564000000000000057e-01;7.049999999999999323e-02
-8.639999999999997682e-02;6.827999999999999625e-01;5.870000000000000218e-02
-8.019999999999999352e-02;7.822000000000000064e-01;4.449999999999999789e-02
-7.409999999999999920e-02;8.477999999999999980e-01;3.500000000000000333e-02
-6.790000000000001590e-02;8.872999999999999776e-01;3.309999999999999748e-02
-6.169999999999997708e-02;9.163999999999999924e-01;3.280000000000000276e-02
-5.559999999999998277e-02;9.387999999999999678e-01;3.200000000000000067e-02
-4.939999999999999947e-02;9.514000000000000234e-01;3.209999999999999659e-02
-4.320000000000001616e-02;9.627999999999999892e-01;3.160000000000000309e-02
-3.699999999999997735e-02;9.747000000000000108e-01;3.259999999999999704e-02
-3.089999999999998304e-02;9.807000000000000162e-01;3.189999999999999780e-02
-2.469999999999999973e-02;9.886000000000000343e-01;3.169999999999999901e-02
-1.850000000000001643e-02;9.967000000000000304e-01;3.130000000000000143e-02
-1.229999999999997762e-02;9.983999999999999542e-01;3.169999999999999901e-02
-6.199999999999983302e-03;1.003100000000000103e+00;3.189999999999999780e-02
0.000000000000000000e+00;1.003900000000000015e+00;3.200000000000000067e-02
6.199999999999983302e-03;9.996000000000000441e-01;3.209999999999999659e-02
1.229999999999997762e-02;9.986000000000000432e-01;3.219999999999999946e-02
1.849999999999996092e-02;9.969999999999999973e-01;3.219999999999999946e-02
2.470000000000005524e-02;9.871999999999999664e-01;3.230000000000000232e-02
3.090000000000003855e-02;9.805000000000000382e-01;3.230000000000000232e-02
3.700000000000003286e-02;9.743000000000000549e-01;3.189999999999999780e-02
4.320000000000001616e-02;9.625000000000000222e-01;3.259999999999999704e-02
4.939999999999999947e-02;9.518999999999999684e-01;3.209999999999999659e-02
5.559999999999998277e-02;9.422000000000000375e-01;3.180000000000000188e-02
6.169999999999997708e-02;9.294999999999999929e-01;3.189999999999999780e-02
6.789999999999996039e-02;9.095999999999999641e-01;3.099999999999999978e-02
7.410000000000005471e-02;8.957000000000000517e-01;3.130000000000000143e-02
8.020000000000004903e-02;8.749000000000000110e-01;3.169999999999999901e-02
8.640000000000003233e-02;8.373000000000000442e-01;3.309999999999999748e-02
9.260000000000001563e-02;7.753999999999999782e-01;4.050000000000000128e-02
9.879999999999999893e-02;6.845999999999999863e-01;5.279999999999999971e-02
1.048999999999999932e-01;5.542000000000000259e-01;6.339999999999999802e-02
1.110999999999999766e-01;4.132000000000000117e-01;6.590000000000000024e-02
1.172999999999999599e-01;2.827000000000000068e-01;6.110000000000000153e-02
1.235000000000000542e-01;1.776999999999999968e-01;5.000000000000000278e-02
1.296000000000000485e-01;1.078000000000000069e-01;3.250000000000000111e-02
1.358000000000000318e-01;7.280000000000000360e-02;1.510000000000000057e-02
1.420000000000000151e-01;5.909999999999999976e-02;7.700000000000000247e-03
1.481000000000000094e-01;5.260000000000000092e-02;6.899999999999999883e-03
1.542999999999999927e-01;4.739999999999999769e-02;6.599999999999999964e-03
1.604999999999999760e-01;4.309999999999999942e-02;6.499999999999999702e-03
1.666999999999999593e-01;3.960000000000000325e-02;6.400000000000000307e-03
1.727999999999999536e-01;3.629999999999999893e-02;6.300000000000000044e-03
