# r/D;U;u'
-4.254000000000000004e-01;2.785902319999999932e-01;4.404117600000000132e-02
-3.721999999999999753e-01;3.032798079999999841e-01;5.542988000000000082e-02
-3.190000000000000058e-01;3.115914160000000099e-01;5.538006399999999968e-02
-2.659000000000000252e-01;3.282797759999999676e-01;5.541838399999999415e-02
-2.026999999999999913e-01;3.492599759999999720e-01;5.482059199999999438e-02
-1.594999999999999751e-01;3.647105999999999959e-01;5.728839999999999627e-02
-1.063000000000000056e-01;3.760494879999999873e-01;5.759112799999999838e-02
-5.320000000000002505e-02;3.831999999999999851e-01;5.224165599999999743e-02
0.000000000000000000e+00;3.812303519999999946e-01;5.413083199999999678e-02
5.320000000000002505e-02;3.797588639999999738e-01;5.531108799999999437e-02
1.062999999999999501e-01;3.736621520000000252e-01;5.943048799999999660e-02
1.594999999999999751e-01;3.698186560000000234e-01;5.234128799999999276e-02
2.026999999999999913e-01;3.563491759999999897e-01;5.702015999999999335e-02
2.659000000000000252e-01;3.366411999999999738e-01;5.570961600000000347e-02
3.189999999999999503e-01;3.189910079999999648e-01;5.255971200000000149e-02
3.721999999999999753e-01;3.004517919999999953e-01;5.395839199999999392e-02
4.254000000000000004e-01;2.837710960000000004e-01;5.400054399999999061e-02
