#r/D;U;u'
-0.4254;-0.00039001;0.04466872
-0.3722;-0.0006100153;0.03819728
-0.319;0.018767176;0.031994168
-0.2659;0.053855008;0.033667272
-0.2027;0.06881824;0.025775272
-0.1595;0.075542224;0.02233436
-0.1329;0.1073312;0.116580624
-0.1063;0.494702128;0.423926672
-0.0798;1.200909856;0.306430576
-0.0532;1.454590304;0.166615904
-0.0266;1.558101776;0.11545996
-0.0133;1.569182144;0.158266168
0;1.5784;0.1037798
0.0133;1.539871256;0.196921184
0.0266;1.514995672;0.12658768
0.0532;1.386829592;0.158439792
0.0798;0.875727888;0.45907764
0.1063;0.255258848;0.308308872
0.1329;0.0816822;0.066718968
0.1595;0.080829864;0.038465608
0.2027;0.084728512;0.0201246
0.2659;0.083907744;0.018561984
0.319;0.078067664;0.021055856
0.3722;0.062062688;0.023312968
0.4254;0.034866856;0.019193344
