#x Ruu Rww Rvv kPlus
-0.000332392 -0.0182151 -0.0182151 -0.00121651 -0.0246281
0.182483 0.012173 -0.00700923 6.64783e-05 6.64783e-05
2.92006 0.467221 0.160793 0.0192787 0.369856
3.28802 0.528384 0.183347 0.0252542 0.419559
3.29234 0.529102 0.183672 0.0253244 0.420143
3.29433 0.529433 0.183822 0.0253568 0.420738
3.66262 0.711717 0.211489 0.0313377 0.530557
4.03091 0.894 0.239157 0.0373186 0.640377
4.39887 1.05807 0.2668 0.0432941 0.750098
4.58468 1.24029 0.280759 0.0463116 0.805503
4.74988 1.40229 0.293169 0.0489944 0.854764
4.76018 1.4124 0.294053 0.0491617 0.857836
4.77048 1.4225 0.294937 0.049329 0.864698
5.13877 1.60479 0.326532 0.05531 1.10996
5.49909 2.34903 0.357443 0.0611613 1.34991
5.51803 2.38817 0.359068 0.061469 1.35929
5.70384 2.57038 0.375008 0.0644865 1.45125
5.86738 2.83193 0.389038 0.0671423 1.53219
6.02925 3.09081 0.402925 0.069771 1.69094
6.05318 3.12909 0.405318 0.0701597 1.71441
6.07977 3.17161 0.407977 0.0705915 1.72757
6.26558 3.35383 0.426558 0.073609 1.81953
6.42147 3.50671 0.442147 0.0761406 1.89669
6.45139 3.53605 0.445139 0.0766264 1.91003
6.63719 3.71826 0.463719 0.0796439 1.99288
6.78943 3.86756 0.478943 0.0821161 2.06076
6.823 3.90048 0.4823 0.0826613 2.09368
6.97524 4.04978 0.497524 0.0851336 2.24298
7.00881 4.0827 0.500881 0.0856788 2.25959
7.19462 4.26492 0.519462 0.0886962 2.35156
7.30896 4.37705 0.530896 0.0905531 2.40815
7.34353 4.41095 0.534844 0.0911145 2.42526
7.38042 4.44713 0.539057 0.0917137 2.46144
7.52933 4.59317 0.556064 0.094132 2.60748
7.56623 4.62935 0.560277 0.0947311 2.64366
7.71514 4.77538 0.577284 0.0971494 2.7897
7.75204 4.81157 0.581497 0.0977486 2.80796
7.93784 4.99378 0.602717 0.100766 2.89992
8.08343 5.12252 0.619344 0.10313 2.97198
8.12332 5.15779 0.623899 0.103778 2.99172
8.30912 5.34 0.645119 0.106796 3.08369
8.45172 5.47984 0.661404 0.109111 3.15426
8.49493 5.52222 0.666339 0.109813 3.17353
8.589 5.61447 0.677082 0.111341 3.21547
8.68074 5.70444 0.686256 0.11283 3.25638
8.81968 5.77321 0.70015 0.115087 3.31833
9.04903 5.88672 0.723085 0.118811 3.43185
9.18797 6.02298 0.736979 0.121068 3.50061
9.23483 6.06894 0.741665 0.121829 3.52381
9.55626 6.22802 0.773808 0.127049 3.6829
9.60312 6.25122 0.778494 0.12781 3.69842
9.86871 6.38267 0.805052 0.132123 3.78634
9.97141 6.43351 0.818726 0.133791 3.82035
10.107 6.5665 0.836781 0.135993 3.86525
10.1572 6.61572 0.843463 0.136808 3.88021
10.5255 6.79801 0.892494 0.142789 3.99003
10.6575 6.85685 0.910062 0.144932 4.02938
10.8935 6.96207 0.941481 0.148765 4.10752
10.9516 6.99086 0.949225 0.149709 4.12678
10.9663 6.9981 0.951172 0.150039 4.13162
11.2082 7.11787 0.971931 0.155492 4.21173
11.2618 7.14436 0.976522 0.156698 4.22372
11.63 7.32664 1.00812 0.164998 4.30623
11.9412 7.39634 1.03481 0.17201 4.37593
12.2456 7.46456 1.06093 0.178872 4.42453
12.363 7.49084 1.07266 0.181516 4.44326
12.5946 7.54275 1.09583 0.186738 4.48024
12.8562 7.60135 1.12199 0.192053 4.52199
13.0959 7.65504 1.14595 0.196923 4.55389
13.5253 7.75126 1.1889 0.20565 4.61107
13.8288 7.81925 1.21547 0.211816 4.65147
13.9538 7.83019 1.22642 0.214356 4.66811
14.4201 7.87103 1.26725 0.223832 4.71474
14.9875 7.92071 1.31694 0.23662 4.77148
15.2335 7.94225 1.33541 0.242163 4.79608
15.291 7.94728 1.33973 0.243459 4.79801
16.0632 7.89934 1.39774 0.260861 4.82397
16.4494 7.87536 1.42676 0.268709 4.83695
16.7492 7.85674 1.45248 0.274802 4.84703
16.8768 7.84402 1.46343 0.277396 4.85132
17.7288 7.75914 1.53651 0.294707 4.84313
17.8886 7.74321 1.54852 0.297956 4.84159
18.0243 7.7297 1.55871 0.301012 4.84028
18.7013 7.62149 1.60958 0.316271 4.83377
18.934 7.58431 1.62706 0.321515 4.82921
19.1906 7.55017 1.64634 0.327298 4.82418
19.5317 7.5048 1.67196 0.334984 4.81749
20.0263 7.43899 1.70911 0.345035 4.80779
20.5255 7.36422 1.74662 0.35518 4.79801
20.6525 7.3452 1.75616 0.35776 4.79262
21.1182 7.27545 1.79114 0.367223 4.77285
21.3572 7.23726 1.8091 0.372079 4.7627
21.8019 7.16619 1.84251 0.381116 4.74383
22.0279 7.13006 1.85949 0.385709 4.73638
22.1143 7.11452 1.86598 0.387466 4.73354
22.9373 6.96646 1.91187 0.404189 4.70644
23.1826 6.93382 1.92555 0.409174 4.69836
23.4432 6.89915 1.94008 0.412159 4.68978
23.7584 6.85723 1.95765 0.415767 4.6773
24.0296 6.82114 1.96978 0.418874 4.66656
24.8253 6.71527 2.00534 0.427987 4.63506
25.1218 6.67582 2.01859 0.434012 4.62332
25.2667 6.65266 2.02507 0.436957 4.61758
25.402 6.63104 2.03111 0.439706 4.61163
26.0316 6.53043 2.06622 0.452499 4.5839
26.6508 6.43769 2.10075 0.465082 4.55664
26.9078 6.3992 2.11507 0.470303 4.54532
27.046 6.37849 2.12279 0.473113 4.54077
27.1235 6.36689 2.12539 0.474687 4.53822
28.2157 6.22157 2.16211 0.496882 4.50225
28.4763 6.19126 2.17087 0.502177 4.49367
