#FLATNESS OF THE RADIAL DIRECTION
#
#        r/D            y+          u_r Flat.
     5.2083E-03     1.7812E+02     3.2011E+00
     1.0417E-02     1.7625E+02     3.1757E+00
     1.5625E-02     1.7437E+02     3.1683E+00
     2.0833E-02     1.7250E+02     3.1746E+00
     2.6042E-02     1.7063E+02     3.1864E+00
     3.1250E-02     1.6875E+02     3.2005E+00
     3.6458E-02     1.6688E+02     3.2152E+00
     4.1667E-02     1.6500E+02     3.2299E+00
     4.6875E-02     1.6312E+02     3.2445E+00
     5.2083E-02     1.6125E+02     3.2594E+00
     5.7292E-02     1.5937E+02     3.2746E+00
     6.2500E-02     1.5750E+02     3.2902E+00
     6.7708E-02     1.5562E+02     3.3058E+00
     7.2917E-02     1.5375E+02     3.3211E+00
     7.8125E-02     1.5187E+02     3.3352E+00
     8.3333E-02     1.5000E+02     3.3474E+00
     8.8542E-02     1.4813E+02     3.3569E+00
     9.3750E-02     1.4625E+02     3.3631E+00
     9.8958E-02     1.4437E+02     3.3658E+00
     1.0417E-01     1.4250E+02     3.3652E+00
     1.0938E-01     1.4062E+02     3.3619E+00
     1.1458E-01     1.3875E+02     3.3563E+00
     1.1979E-01     1.3688E+02     3.3495E+00
     1.2500E-01     1.3500E+02     3.3422E+00
     1.3021E-01     1.3313E+02     3.3353E+00
     1.3542E-01     1.3125E+02     3.3294E+00
     1.4062E-01     1.2937E+02     3.3252E+00
     1.4583E-01     1.2750E+02     3.3226E+00
     1.5104E-01     1.2562E+02     3.3214E+00
     1.5625E-01     1.2375E+02     3.3210E+00
     1.6146E-01     1.2188E+02     3.3208E+00
     1.6667E-01     1.2000E+02     3.3205E+00
     1.7188E-01     1.1812E+02     3.3197E+00
     1.7708E-01     1.1625E+02     3.3185E+00
     1.8229E-01     1.1437E+02     3.3165E+00
     1.8750E-01     1.1250E+02     3.3139E+00
     1.9271E-01     1.1063E+02     3.3109E+00
     1.9792E-01     1.0875E+02     3.3079E+00
     2.0312E-01     1.0687E+02     3.3051E+00
     2.0833E-01     1.0500E+02     3.3021E+00
     2.1354E-01     1.0312E+02     3.2985E+00
     2.1875E-01     1.0125E+02     3.2942E+00
     2.2396E-01     9.9375E+01     3.2891E+00
     2.2917E-01     9.7500E+01     3.2836E+00
     2.3438E-01     9.5625E+01     3.2780E+00
     2.3958E-01     9.3750E+01     3.2722E+00
     2.4479E-01     9.1875E+01     3.2655E+00
     2.5000E-01     9.0000E+01     3.2579E+00
     2.5521E-01     8.8125E+01     3.2500E+00
     2.6042E-01     8.6250E+01     3.2425E+00
     2.6562E-01     8.4375E+01     3.2352E+00
     2.7083E-01     8.2500E+01     3.2274E+00
     2.7604E-01     8.0625E+01     3.2190E+00
     2.8125E-01     7.8750E+01     3.2098E+00
     2.8646E-01     7.6875E+01     3.2003E+00
     2.9167E-01     7.5000E+01     3.1905E+00
     2.9688E-01     7.3125E+01     3.1807E+00
     3.0208E-01     7.1250E+01     3.1713E+00
     3.0729E-01     6.9375E+01     3.1626E+00
     3.1250E-01     6.7500E+01     3.1554E+00
     3.1771E-01     6.5625E+01     3.1503E+00
     3.2292E-01     6.3750E+01     3.1476E+00
     3.2812E-01     6.1875E+01     3.1469E+00
     3.3333E-01     6.0000E+01     3.1476E+00
     3.3854E-01     5.8125E+01     3.1494E+00
     3.4375E-01     5.6250E+01     3.1517E+00
     3.4896E-01     5.4375E+01     3.1546E+00
     3.5417E-01     5.2500E+01     3.1590E+00
     3.5938E-01     5.0625E+01     3.1656E+00
     3.6458E-01     4.8750E+01     3.1756E+00
     3.6979E-01     4.6875E+01     3.1898E+00
     3.7500E-01     4.5000E+01     3.2089E+00
     3.8021E-01     4.3125E+01     3.2335E+00
     3.8542E-01     4.1250E+01     3.2646E+00
     3.9062E-01     3.9375E+01     3.3036E+00
     3.9583E-01     3.7500E+01     3.3517E+00
     4.0104E-01     3.5625E+01     3.4101E+00
     4.0625E-01     3.3750E+01     3.4812E+00
     4.1146E-01     3.1875E+01     3.5690E+00
     4.1667E-01     3.0000E+01     3.6778E+00
     4.2188E-01     2.8125E+01     3.8117E+00
     4.2708E-01     2.6250E+01     3.9766E+00
     4.3229E-01     2.4375E+01     4.1803E+00
     4.3750E-01     2.2500E+01     4.4322E+00
     4.4271E-01     2.0625E+01     4.7451E+00
     4.4792E-01     1.8750E+01     5.1346E+00
     4.5312E-01     1.6875E+01     5.6152E+00
     4.5833E-01     1.5000E+01     6.2085E+00
     4.6354E-01     1.3125E+01     6.9426E+00
     4.6875E-01     1.1250E+01     7.8529E+00
     4.7396E-01     9.3750E+00     8.9965E+00
     4.7917E-01     7.5000E+00     1.0450E+01
     4.8438E-01     5.6250E+00     1.2086E+01
     4.8958E-01     3.7500E+00     1.4118E+01
     4.9479E-01     1.8750E+00     1.7254E+01
