#FLATNESS OF THE AXIAL AND CIRCUMFERENTIAL DIRECTIONS
#
#        r/D            y+          u_z Flat.      u_phi Flat.
     2.6042E-03     1.7906E+02     3.0587E+00     3.2070E+00
     7.8125E-03     1.7719E+02     2.8529E+00     3.1899E+00
     1.3021E-02     1.7531E+02     2.8968E+00     3.1742E+00
     1.8229E-02     1.7344E+02     2.7458E+00     3.1821E+00
     2.3438E-02     1.7156E+02     3.0197E+00     3.1970E+00
     2.8646E-02     1.6969E+02     2.8482E+00     3.2175E+00
     3.3854E-02     1.6781E+02     3.1412E+00     3.2447E+00
     3.9062E-02     1.6594E+02     3.0573E+00     3.2730E+00
     4.4271E-02     1.6406E+02     2.9644E+00     3.2899E+00
     4.9479E-02     1.6219E+02     3.3023E+00     3.2889E+00
     5.4688E-02     1.6031E+02     3.2486E+00     3.2779E+00
     5.9896E-02     1.5844E+02     3.2983E+00     3.2693E+00
     6.5104E-02     1.5656E+02     3.1469E+00     3.2687E+00
     7.0312E-02     1.5469E+02     3.3351E+00     3.2743E+00
     7.5521E-02     1.5281E+02     3.3685E+00     3.2830E+00
     8.0729E-02     1.5094E+02     3.3018E+00     3.2926E+00
     8.5938E-02     1.4906E+02     3.4008E+00     3.3012E+00
     9.1146E-02     1.4719E+02     3.3139E+00     3.3072E+00
     9.6354E-02     1.4531E+02     3.3002E+00     3.3097E+00
     1.0156E-01     1.4344E+02     3.4277E+00     3.3090E+00
     1.0677E-01     1.4156E+02     3.3885E+00     3.3060E+00
     1.1198E-01     1.3969E+02     3.3431E+00     3.3023E+00
     1.1719E-01     1.3781E+02     3.3261E+00     3.2993E+00
     1.2240E-01     1.3594E+02     3.3348E+00     3.2967E+00
     1.2760E-01     1.3406E+02     3.2749E+00     3.2908E+00
     1.3281E-01     1.3219E+02     3.2734E+00     3.2785E+00
     1.3802E-01     1.3031E+02     3.2971E+00     3.2623E+00
     1.4323E-01     1.2844E+02     3.3167E+00     3.2479E+00
     1.4844E-01     1.2656E+02     3.2328E+00     3.2392E+00
     1.5365E-01     1.2469E+02     3.2025E+00     3.2366E+00
     1.5885E-01     1.2281E+02     3.2183E+00     3.2379E+00
     1.6406E-01     1.2094E+02     3.2502E+00     3.2409E+00
     1.6927E-01     1.1906E+02     3.2077E+00     3.2440E+00
     1.7448E-01     1.1719E+02     3.1607E+00     3.2465E+00
     1.7969E-01     1.1531E+02     3.2296E+00     3.2487E+00
     1.8490E-01     1.1344E+02     3.2270E+00     3.2515E+00
     1.9010E-01     1.1156E+02     3.1798E+00     3.2551E+00
     1.9531E-01     1.0969E+02     3.1638E+00     3.2576E+00
     2.0052E-01     1.0781E+02     3.2258E+00     3.2583E+00
     2.0573E-01     1.0594E+02     3.1493E+00     3.2584E+00
     2.1094E-01     1.0406E+02     3.1814E+00     3.2587E+00
     2.1615E-01     1.0219E+02     3.1333E+00     3.2592E+00
     2.2135E-01     1.0031E+02     3.1408E+00     3.2586E+00
     2.2656E-01     9.8438E+01     3.1569E+00     3.2561E+00
     2.3177E-01     9.6563E+01     3.1418E+00     3.2512E+00
     2.3698E-01     9.4687E+01     3.1488E+00     3.2446E+00
     2.4219E-01     9.2813E+01     3.1625E+00     3.2373E+00
     2.4740E-01     9.0938E+01     3.1800E+00     3.2309E+00
     2.5260E-01     8.9063E+01     3.1882E+00     3.2272E+00
     2.5781E-01     8.7188E+01     3.1764E+00     3.2269E+00
     2.6302E-01     8.5312E+01     3.2061E+00     3.2297E+00
     2.6823E-01     8.3438E+01     3.1964E+00     3.2359E+00
     2.7344E-01     8.1563E+01     3.2164E+00     3.2455E+00
     2.7865E-01     7.9687E+01     3.2271E+00     3.2571E+00
     2.8385E-01     7.7813E+01     3.2196E+00     3.2683E+00
     2.8906E-01     7.5938E+01     3.2247E+00     3.2771E+00
     2.9427E-01     7.4062E+01     3.2122E+00     3.2819E+00
     2.9948E-01     7.2188E+01     3.2109E+00     3.2817E+00
     3.0469E-01     7.0313E+01     3.1918E+00     3.2770E+00
     3.0990E-01     6.8437E+01     3.1942E+00     3.2706E+00
     3.1510E-01     6.6563E+01     3.1833E+00     3.2653E+00
     3.2031E-01     6.4688E+01     3.1677E+00     3.2634E+00
     3.2552E-01     6.2812E+01     3.1473E+00     3.2668E+00
     3.3073E-01     6.0938E+01     3.1397E+00     3.2758E+00
     3.3594E-01     5.9063E+01     3.1328E+00     3.2880E+00
     3.4115E-01     5.7187E+01     3.1208E+00     3.3010E+00
     3.4635E-01     5.5313E+01     3.1080E+00     3.3146E+00
     3.5156E-01     5.3438E+01     3.0933E+00     3.3304E+00
     3.5677E-01     5.1562E+01     3.0861E+00     3.3485E+00
     3.6198E-01     4.9688E+01     3.0739E+00     3.3666E+00
     3.6719E-01     4.7813E+01     3.0628E+00     3.3836E+00
     3.7240E-01     4.5937E+01     3.0456E+00     3.4001E+00
     3.7760E-01     4.4063E+01     3.0302E+00     3.4177E+00
     3.8281E-01     4.2188E+01     3.0084E+00     3.4357E+00
     3.8802E-01     4.0312E+01     2.9825E+00     3.4520E+00
     3.9323E-01     3.8438E+01     2.9485E+00     3.4658E+00
     3.9844E-01     3.6563E+01     2.9130E+00     3.4778E+00
     4.0365E-01     3.4687E+01     2.8704E+00     3.4902E+00
     4.0885E-01     3.2813E+01     2.8232E+00     3.5019E+00
     4.1406E-01     3.0938E+01     2.7698E+00     3.5169E+00
     4.1927E-01     2.9062E+01     2.7081E+00     3.5423E+00
     4.2448E-01     2.7188E+01     2.6400E+00     3.5735E+00
     4.2969E-01     2.5313E+01     2.5664E+00     3.6025E+00
     4.3490E-01     2.3437E+01     2.4865E+00     3.6274E+00
     4.4010E-01     2.1563E+01     2.4046E+00     3.6518E+00
     4.4531E-01     1.9688E+01     2.3245E+00     3.6869E+00
     4.5052E-01     1.7812E+01     2.2513E+00     3.7495E+00
     4.5573E-01     1.5938E+01     2.1952E+00     3.8449E+00
     4.6094E-01     1.4063E+01     2.1688E+00     3.9771E+00
     4.6615E-01     1.2187E+01     2.1932E+00     4.1639E+00
     4.7135E-01     1.0313E+01     2.3050E+00     4.4149E+00
     4.7656E-01     8.4375E+00     2.5649E+00     4.7521E+00
     4.8177E-01     6.5625E+00     3.0655E+00     5.2382E+00
     4.8698E-01     4.6875E+00     3.8875E+00     5.9381E+00
     4.9219E-01     2.8125E+00     4.8392E+00     6.8468E+00
     4.9740E-01     9.3750E-01     5.0755E+00     7.9148E+00
