#RMS-VALUES OF THE VORTICITY IN RADIAL DIRECTION
#
#        r/D            y+           Omega_r
     2.6042E-03     1.7906E+02     6.8258E+00
     7.8125E-03     1.7719E+02     9.2373E+00
     1.3021E-02     1.7531E+02     1.0931E+01
     1.8229E-02     1.7344E+02     1.1917E+01
     2.3438E-02     1.7156E+02     1.2570E+01
     2.8646E-02     1.6969E+02     1.3052E+01
     3.3854E-02     1.6781E+02     1.3436E+01
     3.9062E-02     1.6594E+02     1.3755E+01
     4.4271E-02     1.6406E+02     1.4023E+01
     4.9479E-02     1.6219E+02     1.4254E+01
     5.4688E-02     1.6031E+02     1.4459E+01
     5.9896E-02     1.5844E+02     1.4652E+01
     6.5104E-02     1.5656E+02     1.4841E+01
     7.0312E-02     1.5469E+02     1.5032E+01
     7.5521E-02     1.5281E+02     1.5231E+01
     8.0729E-02     1.5094E+02     1.5438E+01
     8.5938E-02     1.4906E+02     1.5650E+01
     9.1146E-02     1.4719E+02     1.5863E+01
     9.6354E-02     1.4531E+02     1.6078E+01
     1.0156E-01     1.4344E+02     1.6292E+01
     1.0677E-01     1.4156E+02     1.6505E+01
     1.1198E-01     1.3969E+02     1.6718E+01
     1.1719E-01     1.3781E+02     1.6935E+01
     1.2240E-01     1.3594E+02     1.7156E+01
     1.2760E-01     1.3406E+02     1.7384E+01
     1.3281E-01     1.3219E+02     1.7616E+01
     1.3802E-01     1.3031E+02     1.7850E+01
     1.4323E-01     1.2844E+02     1.8083E+01
     1.4844E-01     1.2656E+02     1.8317E+01
     1.5365E-01     1.2469E+02     1.8555E+01
     1.5885E-01     1.2281E+02     1.8803E+01
     1.6406E-01     1.2094E+02     1.9066E+01
     1.6927E-01     1.1906E+02     1.9344E+01
     1.7448E-01     1.1719E+02     1.9637E+01
     1.7969E-01     1.1531E+02     1.9944E+01
     1.8490E-01     1.1344E+02     2.0266E+01
     1.9010E-01     1.1156E+02     2.0604E+01
     1.9531E-01     1.0969E+02     2.0956E+01
     2.0052E-01     1.0781E+02     2.1321E+01
     2.0573E-01     1.0594E+02     2.1701E+01
     2.1094E-01     1.0406E+02     2.2100E+01
     2.1615E-01     1.0219E+02     2.2520E+01
     2.2135E-01     1.0031E+02     2.2959E+01
     2.2656E-01     9.8438E+01     2.3413E+01
     2.3177E-01     9.6563E+01     2.3881E+01
     2.3698E-01     9.4687E+01     2.4363E+01
     2.4219E-01     9.2813E+01     2.4859E+01
     2.4740E-01     9.0938E+01     2.5375E+01
     2.5260E-01     8.9063E+01     2.5914E+01
     2.5781E-01     8.7188E+01     2.6476E+01
     2.6302E-01     8.5312E+01     2.7062E+01
     2.6823E-01     8.3438E+01     2.7669E+01
     2.7344E-01     8.1563E+01     2.8292E+01
     2.7865E-01     7.9687E+01     2.8933E+01
     2.8385E-01     7.7813E+01     2.9596E+01
     2.8906E-01     7.5938E+01     3.0282E+01
     2.9427E-01     7.4062E+01     3.0990E+01
     2.9948E-01     7.2188E+01     3.1727E+01
     3.0469E-01     7.0313E+01     3.2502E+01
     3.0990E-01     6.8437E+01     3.3320E+01
     3.1510E-01     6.6563E+01     3.4189E+01
     3.2031E-01     6.4688E+01     3.5109E+01
     3.2552E-01     6.2812E+01     3.6076E+01
     3.3073E-01     6.0938E+01     3.7091E+01
     3.3594E-01     5.9063E+01     3.8146E+01
     3.4115E-01     5.7187E+01     3.9244E+01
     3.4635E-01     5.5313E+01     4.0392E+01
     3.5156E-01     5.3438E+01     4.1599E+01
     3.5677E-01     5.1562E+01     4.2868E+01
     3.6198E-01     4.9688E+01     4.4194E+01
     3.6719E-01     4.7813E+01     4.5578E+01
     3.7240E-01     4.5937E+01     4.7021E+01
     3.7760E-01     4.4063E+01     4.8530E+01
     3.8281E-01     4.2188E+01     5.0110E+01
     3.8802E-01     4.0312E+01     5.1754E+01
     3.9323E-01     3.8438E+01     5.3453E+01
     3.9844E-01     3.6563E+01     5.5188E+01
     4.0365E-01     3.4687E+01     5.6953E+01
     4.0885E-01     3.2813E+01     5.8743E+01
     4.1406E-01     3.0938E+01     6.0537E+01
     4.1927E-01     2.9062E+01     6.2322E+01
     4.2448E-01     2.7188E+01     6.4084E+01
     4.2969E-01     2.5313E+01     6.5804E+01
     4.3490E-01     2.3437E+01     6.7439E+01
     4.4010E-01     2.1563E+01     6.8932E+01
     4.4531E-01     1.9688E+01     7.0205E+01
     4.5052E-01     1.7812E+01     7.1163E+01
     4.5573E-01     1.5938E+01     7.1651E+01
     4.6094E-01     1.4063E+01     7.1411E+01
     4.6615E-01     1.2187E+01     7.0046E+01
     4.7135E-01     1.0313E+01     6.6958E+01
     4.7656E-01     8.4375E+00     6.1354E+01
     4.8177E-01     6.5625E+00     5.2288E+01
     4.8698E-01     4.6875E+00     3.9151E+01
     4.9219E-01     2.8125E+00     2.3550E+01
     4.9740E-01     9.3750E-01     9.1023E+00
