#RMS-VALUES OF THE VORTICITY IN AXIAL AND CIRUMFERENTIAL DIRECTION
#
#
#        r/D            y+           Omega_z        Omega_phi
     5.2083E-03     1.7812E+02     2.6169E+01     2.1424E+01
     1.0417E-02     1.7625E+02     1.9863E+01     2.0631E+01
     1.5625E-02     1.7437E+02     1.8276E+01     2.0538E+01
     2.0833E-02     1.7250E+02     1.7744E+01     2.0581E+01
     2.6042E-02     1.7063E+02     1.7552E+01     2.0655E+01
     3.1250E-02     1.6875E+02     1.7481E+01     2.0701E+01
     3.6458E-02     1.6688E+02     1.7447E+01     2.0683E+01
     4.1667E-02     1.6500E+02     1.7427E+01     2.0604E+01
     4.6875E-02     1.6312E+02     1.7439E+01     2.0503E+01
     5.2083E-02     1.6125E+02     1.7506E+01     2.0436E+01
     5.7292E-02     1.5937E+02     1.7623E+01     2.0432E+01
     6.2500E-02     1.5750E+02     1.7772E+01     2.0479E+01
     6.7708E-02     1.5562E+02     1.7935E+01     2.0565E+01
     7.2917E-02     1.5375E+02     1.8104E+01     2.0686E+01
     7.8125E-02     1.5187E+02     1.8280E+01     2.0819E+01
     8.3333E-02     1.5000E+02     1.8470E+01     2.0937E+01
     8.8542E-02     1.4813E+02     1.8675E+01     2.1033E+01
     9.3750E-02     1.4625E+02     1.8899E+01     2.1117E+01
     9.8958E-02     1.4437E+02     1.9145E+01     2.1201E+01
     1.0417E-01     1.4250E+02     1.9409E+01     2.1295E+01
     1.0938E-01     1.4062E+02     1.9675E+01     2.1407E+01
     1.1458E-01     1.3875E+02     1.9936E+01     2.1539E+01
     1.1979E-01     1.3688E+02     2.0201E+01     2.1686E+01
     1.2500E-01     1.3500E+02     2.0477E+01     2.1831E+01
     1.3021E-01     1.3313E+02     2.0765E+01     2.1968E+01
     1.3542E-01     1.3125E+02     2.1063E+01     2.2105E+01
     1.4062E-01     1.2937E+02     2.1366E+01     2.2259E+01
     1.4583E-01     1.2750E+02     2.1666E+01     2.2450E+01
     1.5104E-01     1.2562E+02     2.1963E+01     2.2691E+01
     1.5625E-01     1.2375E+02     2.2259E+01     2.2966E+01
     1.6146E-01     1.2188E+02     2.2560E+01     2.3238E+01
     1.6667E-01     1.2000E+02     2.2876E+01     2.3487E+01
     1.7188E-01     1.1812E+02     2.3211E+01     2.3727E+01
     1.7708E-01     1.1625E+02     2.3566E+01     2.3983E+01
     1.8229E-01     1.1437E+02     2.3941E+01     2.4270E+01
     1.8750E-01     1.1250E+02     2.4331E+01     2.4585E+01
     1.9271E-01     1.1063E+02     2.4719E+01     2.4910E+01
     1.9792E-01     1.0875E+02     2.5092E+01     2.5240E+01
