#RMS-VALUES IN RADIAL DIRECTION
#
#        r/D            y+           u_r rms
     1.0417E-02     1.7625E+02     6.6519E-01
     1.5625E-02     1.7437E+02     6.7158E-01
     2.0833E-02     1.7250E+02     6.7473E-01
     2.6042E-02     1.7062E+02     6.7660E-01
     3.1250E-02     1.6875E+02     6.7786E-01
     3.6458E-02     1.6688E+02     6.7880E-01
     4.1667E-02     1.6500E+02     6.7955E-01
     4.6875E-02     1.6312E+02     6.8022E-01
     5.2083E-02     1.6125E+02     6.8086E-01
     5.7292E-02     1.5937E+02     6.8152E-01
     6.2500E-02     1.5750E+02     6.8224E-01
     6.7708E-02     1.5563E+02     6.8304E-01
     7.2917E-02     1.5375E+02     6.8395E-01
     7.8125E-02     1.5187E+02     6.8502E-01
     8.3333E-02     1.5000E+02     6.8625E-01
     8.8542E-02     1.4812E+02     6.8768E-01
     9.3750E-02     1.4625E+02     6.8931E-01
     9.8958E-02     1.4438E+02     6.9114E-01
     1.0417E-01     1.4250E+02     6.9317E-01
     1.0938E-01     1.4062E+02     6.9537E-01
     1.1458E-01     1.3875E+02     6.9774E-01
     1.1979E-01     1.3687E+02     7.0024E-01
     1.2500E-01     1.3500E+02     7.0285E-01
     1.3021E-01     1.3313E+02     7.0554E-01
     1.3542E-01     1.3125E+02     7.0831E-01
     1.4062E-01     1.2937E+02     7.1115E-01
     1.4583E-01     1.2750E+02     7.1407E-01
     1.5104E-01     1.2562E+02     7.1706E-01
     1.5625E-01     1.2375E+02     7.2015E-01
     1.6146E-01     1.2188E+02     7.2332E-01
     1.6667E-01     1.2000E+02     7.2657E-01
     1.7188E-01     1.1812E+02     7.2992E-01
     1.7708E-01     1.1625E+02     7.3335E-01
     1.8229E-01     1.1437E+02     7.3688E-01
     1.8750E-01     1.1250E+02     7.4050E-01
     1.9271E-01     1.1063E+02     7.4421E-01
     1.9792E-01     1.0875E+02     7.4800E-01
     2.0312E-01     1.0687E+02     7.5189E-01
     2.0833E-01     1.0500E+02     7.5589E-01
     2.1354E-01     1.0312E+02     7.6000E-01
     2.1875E-01     1.0125E+02     7.6423E-01
     2.2396E-01     9.9375E+01     7.6857E-01
     2.2917E-01     9.7500E+01     7.7298E-01
     2.3438E-01     9.5625E+01     7.7746E-01
     2.3958E-01     9.3750E+01     7.8199E-01
     2.4479E-01     9.1875E+01     7.8655E-01
     2.5000E-01     9.0000E+01     7.9115E-01
     2.5521E-01     8.8125E+01     7.9580E-01
     2.6042E-01     8.6250E+01     8.0052E-01
     2.6562E-01     8.4375E+01     8.0530E-01
     2.7083E-01     8.2500E+01     8.1012E-01
     2.7604E-01     8.0625E+01     8.1496E-01
     2.8125E-01     7.8750E+01     8.1976E-01
     2.8646E-01     7.6875E+01     8.2444E-01
     2.9167E-01     7.5000E+01     8.2893E-01
     2.9688E-01     7.3125E+01     8.3314E-01
     3.0208E-01     7.1250E+01     8.3703E-01
     3.0729E-01     6.9375E+01     8.4055E-01
     3.1250E-01     6.7500E+01     8.4367E-01
     3.1771E-01     6.5625E+01     8.4633E-01
     3.2292E-01     6.3750E+01     8.4850E-01
     3.2812E-01     6.1875E+01     8.5013E-01
     3.3333E-01     6.0000E+01     8.5113E-01
     3.3854E-01     5.8125E+01     8.5144E-01
     3.4375E-01     5.6250E+01     8.5095E-01
     3.4896E-01     5.4375E+01     8.4954E-01
     3.5417E-01     5.2500E+01     8.4708E-01
     3.5938E-01     5.0625E+01     8.4344E-01
     3.6458E-01     4.8750E+01     8.3848E-01
     3.6979E-01     4.6875E+01     8.3208E-01
     3.7500E-01     4.5000E+01     8.2414E-01
     3.8021E-01     4.3125E+01     8.1457E-01
     3.8542E-01     4.1250E+01     8.0330E-01
     3.9062E-01     3.9375E+01     7.9021E-01
     3.9583E-01     3.7500E+01     7.7521E-01
     4.0104E-01     3.5625E+01     7.5816E-01
     4.0625E-01     3.3750E+01     7.3886E-01
     4.1146E-01     3.1875E+01     7.1714E-01
     4.1667E-01     3.0000E+01     6.9283E-01
     4.2188E-01     2.8125E+01     6.6581E-01
     4.2708E-01     2.6250E+01     6.3594E-01
     4.3229E-01     2.4375E+01     6.0310E-01
     4.3750E-01     2.2500E+01     5.6715E-01
     4.4271E-01     2.0625E+01     5.2801E-01
     4.4792E-01     1.8750E+01     4.8567E-01
     4.5312E-01     1.6875E+01     4.4011E-01
     4.5833E-01     1.5000E+01     3.9137E-01
     4.6354E-01     1.3125E+01     3.3964E-01
     4.6875E-01     1.1250E+01     2.8530E-01
     4.7396E-01     9.3750E+00     2.2893E-01
     4.7917E-01     7.5000E+00     1.7149E-01
     4.8438E-01     5.6250E+00     1.1464E-01
     4.8958E-01     3.7500E+00     6.1723E-02
     4.9479E-01     1.8750E+00     1.9382E-02
