#RMS-VALUES IN AXIAL AND CIRCUMFERENTIAL DIRECTIONS
#
#        r/D            y+           u_z rms        u_phi rms
     2.6042E-03     1.7906E+02     8.3683E-01     6.4759E-01
     7.8125E-03     1.7719E+02     8.3792E-01     6.8232E-01
     1.3021E-02     1.7531E+02     8.3931E-01     6.8459E-01
     1.8229E-02     1.7344E+02     8.4121E-01     6.8386E-01
     2.3438E-02     1.7156E+02     8.4384E-01     6.8308E-01
     2.8646E-02     1.6969E+02     8.4743E-01     6.8254E-01
     3.3854E-02     1.6781E+02     8.5214E-01     6.8224E-01
     3.9062E-02     1.6594E+02     8.5794E-01     6.8216E-01
     4.4271E-02     1.6406E+02     8.6457E-01     6.8226E-01
     4.9479E-02     1.6219E+02     8.7163E-01     6.8254E-01
     5.4688E-02     1.6031E+02     8.7878E-01     6.8307E-01
     5.9896E-02     1.5844E+02     8.8586E-01     6.8399E-01
     6.5104E-02     1.5656E+02     8.9288E-01     6.8541E-01
     7.0312E-02     1.5469E+02     8.9993E-01     6.8744E-01
     7.5521E-02     1.5281E+02     9.0717E-01     6.9007E-01
     8.0729E-02     1.5094E+02     9.1481E-01     6.9327E-01
     8.5938E-02     1.4906E+02     9.2305E-01     6.9696E-01
     9.1146E-02     1.4719E+02     9.3198E-01     7.0108E-01
     9.6354E-02     1.4531E+02     9.4158E-01     7.0559E-01
     1.0156E-01     1.4344E+02     9.5175E-01     7.1045E-01
     1.0677E-01     1.4156E+02     9.6236E-01     7.1562E-01
     1.1198E-01     1.3969E+02     9.7330E-01     7.2104E-01
     1.1719E-01     1.3781E+02     9.8452E-01     7.2660E-01
     1.2240E-01     1.3594E+02     9.9597E-01     7.3218E-01
     1.2760E-01     1.3406E+02     1.0075E+00     7.3771E-01
     1.3281E-01     1.3219E+02     1.0191E+00     7.4319E-01
     1.3802E-01     1.3031E+02     1.0305E+00     7.4870E-01
     1.4323E-01     1.2844E+02     1.0417E+00     7.5436E-01
     1.4844E-01     1.2656E+02     1.0526E+00     7.6029E-01
     1.5365E-01     1.2469E+02     1.0633E+00     7.6655E-01
     1.5885E-01     1.2281E+02     1.0740E+00     7.7317E-01
     1.6406E-01     1.2094E+02     1.0847E+00     7.8010E-01
     1.6927E-01     1.1906E+02     1.0958E+00     7.8722E-01
     1.7448E-01     1.1719E+02     1.1072E+00     7.9444E-01
     1.7969E-01     1.1531E+02     1.1189E+00     8.0163E-01
     1.8490E-01     1.1344E+02     1.1311E+00     8.0873E-01
     1.9010E-01     1.1156E+02     1.1435E+00     8.1572E-01
     1.9531E-01     1.0969E+02     1.1563E+00     8.2259E-01
     2.0052E-01     1.0781E+02     1.1693E+00     8.2931E-01
     2.0573E-01     1.0594E+02     1.1824E+00     8.3582E-01
     2.1094E-01     1.0406E+02     1.1956E+00     8.4205E-01
     2.1615E-01     1.0219E+02     1.2087E+00     8.4795E-01
     2.2135E-01     1.0031E+02     1.2218E+00     8.5359E-01
     2.2656E-01     9.8438E+01     1.2350E+00     8.5910E-01
     2.3177E-01     9.6563E+01     1.2481E+00     8.6468E-01
     2.3698E-01     9.4687E+01     1.2613E+00     8.7054E-01
     2.4219E-01     9.2813E+01     1.2745E+00     8.7679E-01
     2.4740E-01     9.0938E+01     1.2879E+00     8.8345E-01
     2.5260E-01     8.9062E+01     1.3018E+00     8.9042E-01
     2.5781E-01     8.7188E+01     1.3162E+00     8.9754E-01
     2.6302E-01     8.5313E+01     1.3310E+00     9.0473E-01
     2.6823E-01     8.3437E+01     1.3463E+00     9.1195E-01
     2.7344E-01     8.1563E+01     1.3618E+00     9.1916E-01
     2.7865E-01     7.9688E+01     1.3777E+00     9.2633E-01
     2.8385E-01     7.7812E+01     1.3940E+00     9.3340E-01
     2.8906E-01     7.5938E+01     1.4110E+00     9.4043E-01
     2.9427E-01     7.4063E+01     1.4289E+00     9.4751E-01
     2.9948E-01     7.2187E+01     1.4478E+00     9.5469E-01
     3.0469E-01     7.0313E+01     1.4678E+00     9.6205E-01
     3.0990E-01     6.8438E+01     1.4887E+00     9.6958E-01
     3.1510E-01     6.6562E+01     1.5106E+00     9.7721E-01
     3.2031E-01     6.4688E+01     1.5338E+00     9.8484E-01
     3.2552E-01     6.2813E+01     1.5581E+00     9.9236E-01
     3.3073E-01     6.0937E+01     1.5834E+00     9.9958E-01
     3.3594E-01     5.9063E+01     1.6097E+00     1.0063E+00
     3.4115E-01     5.7188E+01     1.6369E+00     1.0124E+00
     3.4635E-01     5.5312E+01     1.6654E+00     1.0180E+00
     3.5156E-01     5.3438E+01     1.6955E+00     1.0228E+00
     3.5677E-01     5.1563E+01     1.7278E+00     1.0267E+00
     3.6198E-01     4.9687E+01     1.7624E+00     1.0295E+00
     3.6719E-01     4.7813E+01     1.7996E+00     1.0310E+00
     3.7240E-01     4.5938E+01     1.8393E+00     1.0313E+00
     3.7760E-01     4.4062E+01     1.8814E+00     1.0304E+00
     3.8281E-01     4.2188E+01     1.9258E+00     1.0285E+00
     3.8802E-01     4.0313E+01     1.9722E+00     1.0257E+00
     3.9323E-01     3.8437E+01     2.0211E+00     1.0221E+00
     3.9844E-01     3.6563E+01     2.0727E+00     1.0179E+00
     4.0365E-01     3.4688E+01     2.1273E+00     1.0128E+00
     4.0885E-01     3.2812E+01     2.1849E+00     1.0071E+00
     4.1406E-01     3.0938E+01     2.2456E+00     1.0011E+00
     4.1927E-01     2.9063E+01     2.3091E+00     9.9491E-01
     4.2448E-01     2.7187E+01     2.3749E+00     9.8866E-01
     4.2969E-01     2.5313E+01     2.4425E+00     9.8180E-01
     4.3490E-01     2.3438E+01     2.5105E+00     9.7354E-01
     4.4010E-01     2.1562E+01     2.5764E+00     9.6300E-01
     4.4531E-01     1.9688E+01     2.6367E+00     9.4913E-01
     4.5052E-01     1.7813E+01     2.6864E+00     9.3063E-01
     4.5573E-01     1.5937E+01     2.7180E+00     9.0580E-01
     4.6094E-01     1.4063E+01     2.7211E+00     8.7272E-01
     4.6615E-01     1.2188E+01     2.6803E+00     8.2938E-01
     4.7135E-01     1.0312E+01     2.5738E+00     7.7404E-01
     4.7656E-01     8.4375E+00     2.3735E+00     7.0491E-01
     4.8177E-01     6.5625E+00     2.0492E+00     6.1861E-01
     4.8698E-01     4.6875E+00     1.5820E+00     5.0725E-01
     4.9219E-01     2.8125E+00     9.8888E-01     3.5546E-01
     4.9740E-01     9.3750E-01     3.3188E-01     1.4021E-01
