#REYNOLDS SHEAR STRESS
#
#        r/D            y+          <u_z*u_r>
     5.2083E-03     1.7812E+02     1.0934E-02
     1.0417E-02     1.7625E+02     2.1355E-02
     1.5625E-02     1.7437E+02     3.0864E-02
     2.0833E-02     1.7250E+02     4.0147E-02
     2.6042E-02     1.7063E+02     4.9381E-02
     3.1250E-02     1.6875E+02     5.8677E-02
     3.6458E-02     1.6688E+02     6.8091E-02
     4.1667E-02     1.6500E+02     7.7625E-02
     4.6875E-02     1.6312E+02     8.7233E-02
     5.2083E-02     1.6125E+02     9.6853E-02
     5.7292E-02     1.5937E+02     1.0643E-01
     6.2500E-02     1.5750E+02     1.1592E-01
     6.7708E-02     1.5562E+02     1.2531E-01
     7.2917E-02     1.5375E+02     1.3463E-01
     7.8125E-02     1.5187E+02     1.4393E-01
     8.3333E-02     1.5000E+02     1.5322E-01
     8.8542E-02     1.4813E+02     1.6255E-01
     9.3750E-02     1.4625E+02     1.7194E-01
     9.8958E-02     1.4437E+02     1.8140E-01
     1.0417E-01     1.4250E+02     1.9093E-01
     1.0938E-01     1.4062E+02     2.0054E-01
     1.1458E-01     1.3875E+02     2.1023E-01
     1.1979E-01     1.3688E+02     2.2003E-01
     1.2500E-01     1.3500E+02     2.2991E-01
     1.3021E-01     1.3313E+02     2.3986E-01
     1.3542E-01     1.3125E+02     2.4982E-01
     1.4062E-01     1.2937E+02     2.5973E-01
     1.4583E-01     1.2750E+02     2.6956E-01
     1.5104E-01     1.2562E+02     2.7931E-01
     1.5625E-01     1.2375E+02     2.8900E-01
     1.6146E-01     1.2188E+02     2.9869E-01
     1.6667E-01     1.2000E+02     3.0842E-01
     1.7188E-01     1.1812E+02     3.1820E-01
     1.7708E-01     1.1625E+02     3.2803E-01
     1.8229E-01     1.1437E+02     3.3789E-01
     1.8750E-01     1.1250E+02     3.4778E-01
     1.9271E-01     1.1063E+02     3.5768E-01
     1.9792E-01     1.0875E+02     3.6758E-01
     2.0312E-01     1.0687E+02     3.7745E-01
     2.0833E-01     1.0500E+02     3.8728E-01
     2.1354E-01     1.0312E+02     3.9705E-01
     2.1875E-01     1.0125E+02     4.0676E-01
     2.2396E-01     9.9375E+01     4.1642E-01
     2.2917E-01     9.7500E+01     4.2600E-01
     2.3438E-01     9.5625E+01     4.3550E-01
     2.3958E-01     9.3750E+01     4.4495E-01
     2.4479E-01     9.1875E+01     4.5440E-01
     2.5000E-01     9.0000E+01     4.6396E-01
     2.5521E-01     8.8125E+01     4.7369E-01
     2.6042E-01     8.6250E+01     4.8364E-01
     2.6562E-01     8.4375E+01     4.9379E-01
     2.7083E-01     8.2500E+01     5.0403E-01
     2.7604E-01     8.0625E+01     5.1429E-01
     2.8125E-01     7.8750E+01     5.2450E-01
     2.8646E-01     7.6875E+01     5.3462E-01
     2.9167E-01     7.5000E+01     5.4470E-01
     2.9688E-01     7.3125E+01     5.5477E-01
     3.0208E-01     7.1250E+01     5.6489E-01
     3.0729E-01     6.9375E+01     5.7507E-01
     3.1250E-01     6.7500E+01     5.8529E-01
     3.1771E-01     6.5625E+01     5.9556E-01
     3.2292E-01     6.3750E+01     6.0582E-01
     3.2812E-01     6.1875E+01     6.1603E-01
     3.3333E-01     6.0000E+01     6.2610E-01
     3.3854E-01     5.8125E+01     6.3597E-01
     3.4375E-01     5.6250E+01     6.4555E-01
     3.4896E-01     5.4375E+01     6.5481E-01
     3.5417E-01     5.2500E+01     6.6382E-01
     3.5938E-01     5.0625E+01     6.7260E-01
     3.6458E-01     4.8750E+01     6.8120E-01
     3.6979E-01     4.6875E+01     6.8959E-01
     3.7500E-01     4.5000E+01     6.9768E-01
     3.8021E-01     4.3125E+01     7.0533E-01
     3.8542E-01     4.1250E+01     7.1233E-01
     3.9062E-01     3.9375E+01     7.1848E-01
     3.9583E-01     3.7500E+01     7.2353E-01
     4.0104E-01     3.5625E+01     7.2723E-01
     4.0625E-01     3.3750E+01     7.2934E-01
     4.1146E-01     3.1875E+01     7.2949E-01
     4.1667E-01     3.0000E+01     7.2724E-01
     4.2188E-01     2.8125E+01     7.2211E-01
     4.2708E-01     2.6250E+01     7.1351E-01
     4.3229E-01     2.4375E+01     7.0067E-01
     4.3750E-01     2.2500E+01     6.8256E-01
     4.4271E-01     2.0625E+01     6.5792E-01
     4.4792E-01     1.8750E+01     6.2529E-01
     4.5312E-01     1.6875E+01     5.8294E-01
     4.5833E-01     1.5000E+01     5.2894E-01
     4.6354E-01     1.3125E+01     4.6157E-01
     4.6875E-01     1.1250E+01     3.8020E-01
     4.7396E-01     9.3750E+00     2.8687E-01
     4.7917E-01     7.5000E+00     1.8844E-01
     4.8438E-01     5.6250E+00     9.8276E-02
     4.8958E-01     3.7500E+00     3.3753E-02
     4.9479E-01     1.8750E+00     4.5128E-03
