#SKEWNESS OF THE RADIAL DIRECTION
#
#        r/D            y+          u_r Skew.
     5.2083E-03     1.7812E+02     4.0218E-02
     1.0417E-02     1.7625E+02     6.2220E-02
     1.5625E-02     1.7437E+02     6.9204E-02
     2.0833E-02     1.7250E+02     7.6577E-02
     2.6042E-02     1.7063E+02     8.4912E-02
     3.1250E-02     1.6875E+02     9.3757E-02
     3.6458E-02     1.6688E+02     1.0284E-01
     4.1667E-02     1.6500E+02     1.1211E-01
     4.6875E-02     1.6312E+02     1.2163E-01
     5.2083E-02     1.6125E+02     1.3141E-01
     5.7292E-02     1.5937E+02     1.4141E-01
     6.2500E-02     1.5750E+02     1.5153E-01
     6.7708E-02     1.5562E+02     1.6172E-01
     7.2917E-02     1.5375E+02     1.7195E-01
     7.8125E-02     1.5187E+02     1.8217E-01
     8.3333E-02     1.5000E+02     1.9232E-01
     8.8542E-02     1.4813E+02     2.0230E-01
     9.3750E-02     1.4625E+02     2.1199E-01
     9.8958E-02     1.4437E+02     2.2130E-01
     1.0417E-01     1.4250E+02     2.3011E-01
     1.0938E-01     1.4062E+02     2.3828E-01
     1.1458E-01     1.3875E+02     2.4565E-01
     1.1979E-01     1.3688E+02     2.5210E-01
     1.2500E-01     1.3500E+02     2.5752E-01
     1.3021E-01     1.3313E+02     2.6194E-01
     1.3542E-01     1.3125E+02     2.6551E-01
     1.4062E-01     1.2937E+02     2.6844E-01
     1.4583E-01     1.2750E+02     2.7098E-01
     1.5104E-01     1.2562E+02     2.7327E-01
     1.5625E-01     1.2375E+02     2.7532E-01
     1.6146E-01     1.2188E+02     2.7707E-01
     1.6667E-01     1.2000E+02     2.7836E-01
     1.7188E-01     1.1812E+02     2.7904E-01
     1.7708E-01     1.1625E+02     2.7898E-01
     1.8229E-01     1.1437E+02     2.7811E-01
     1.8750E-01     1.1250E+02     2.7638E-01
     1.9271E-01     1.1063E+02     2.7383E-01
     1.9792E-01     1.0875E+02     2.7051E-01
     2.0312E-01     1.0687E+02     2.6653E-01
     2.0833E-01     1.0500E+02     2.6201E-01
     2.1354E-01     1.0312E+02     2.5707E-01
     2.1875E-01     1.0125E+02     2.5185E-01
     2.2396E-01     9.9375E+01     2.4646E-01
     2.2917E-01     9.7500E+01     2.4097E-01
     2.3438E-01     9.5625E+01     2.3534E-01
     2.3958E-01     9.3750E+01     2.2942E-01
     2.4479E-01     9.1875E+01     2.2301E-01
     2.5000E-01     9.0000E+01     2.1612E-01
     2.5521E-01     8.8125E+01     2.0895E-01
     2.6042E-01     8.6250E+01     2.0168E-01
     2.6562E-01     8.4375E+01     1.9443E-01
     2.7083E-01     8.2500E+01     1.8725E-01
     2.7604E-01     8.0625E+01     1.8016E-01
     2.8125E-01     7.8750E+01     1.7317E-01
     2.8646E-01     7.6875E+01     1.6626E-01
     2.9167E-01     7.5000E+01     1.5935E-01
     2.9688E-01     7.3125E+01     1.5235E-01
     3.0208E-01     7.1250E+01     1.4522E-01
     3.0729E-01     6.9375E+01     1.3799E-01
     3.1250E-01     6.7500E+01     1.3079E-01
     3.1771E-01     6.5625E+01     1.2372E-01
     3.2292E-01     6.3750E+01     1.1672E-01
     3.2812E-01     6.1875E+01     1.0963E-01
     3.3333E-01     6.0000E+01     1.0220E-01
     3.3854E-01     5.8125E+01     9.4154E-02
     3.4375E-01     5.6250E+01     8.5179E-02
     3.4896E-01     5.4375E+01     7.5050E-02
     3.5417E-01     5.2500E+01     6.3643E-02
     3.5938E-01     5.0625E+01     5.0834E-02
     3.6458E-01     4.8750E+01     3.6497E-02
     3.6979E-01     4.6875E+01     2.0509E-02
     3.7500E-01     4.5000E+01     2.8310E-03
     3.8021E-01     4.3125E+01    -1.6496E-02
     3.8542E-01     4.1250E+01    -3.7428E-02
     3.9062E-01     3.9375E+01    -5.9897E-02
     3.9583E-01     3.7500E+01    -8.3914E-02
     4.0104E-01     3.5625E+01    -1.0938E-01
     4.0625E-01     3.3750E+01    -1.3620E-01
     4.1146E-01     3.1875E+01    -1.6455E-01
     4.1667E-01     3.0000E+01    -1.9497E-01
     4.2188E-01     2.8125E+01    -2.2812E-01
     4.2708E-01     2.6250E+01    -2.6428E-01
     4.3229E-01     2.4375E+01    -3.0369E-01
     4.3750E-01     2.2500E+01    -3.4661E-01
     4.4271E-01     2.0625E+01    -3.9299E-01
     4.4792E-01     1.8750E+01    -4.4153E-01
     4.5312E-01     1.6875E+01    -4.8918E-01
     4.5833E-01     1.5000E+01    -5.3306E-01
     4.6354E-01     1.3125E+01    -5.7239E-01
     4.6875E-01     1.1250E+01    -6.0423E-01
     4.7396E-01     9.3750E+00    -6.2245E-01
     4.7917E-01     7.5000E+00    -6.2241E-01
     4.8438E-01     5.6250E+00    -5.9374E-01
     4.8958E-01     3.7500E+00    -5.3551E-01
     4.9479E-01     1.8750E+00    -4.6033E-01
