#SKEWNESS OF THE AXIAL AND CIRCUMFERENTIAL DIRECTIONS
#
#        r/D            y+          u_z Skew.      u_phi Skew.
     2.6042E-03     1.7906E+02    -1.3998E-01    -2.8483E-03
     7.8125E-03     1.7719E+02    -1.4608E-01    -9.0176E-03
     1.3021E-02     1.7531E+02    -1.5857E-01    -1.5736E-02
     1.8229E-02     1.7344E+02    -1.6569E-01    -2.0617E-02
     2.3438E-02     1.7156E+02    -1.8852E-01    -2.2957E-02
     2.8646E-02     1.6969E+02    -2.0060E-01    -2.2498E-02
     3.3854E-02     1.6781E+02    -2.3042E-01    -2.0188E-02
     3.9062E-02     1.6594E+02    -2.5982E-01    -1.8423E-02
     4.4271E-02     1.6406E+02    -2.9165E-01    -1.9774E-02
     4.9479E-02     1.6219E+02    -3.2884E-01    -2.4942E-02
     5.4688E-02     1.6031E+02    -3.5829E-01    -3.2151E-02
     5.9896E-02     1.5844E+02    -3.8630E-01    -3.8867E-02
     6.5104E-02     1.5656E+02    -4.0336E-01    -4.3708E-02
     7.0312E-02     1.5469E+02    -4.2877E-01    -4.6558E-02
     7.5521E-02     1.5281E+02    -4.4476E-01    -4.7665E-02
     8.0729E-02     1.5094E+02    -4.5793E-01    -4.7149E-02
     8.5938E-02     1.4906E+02    -4.7186E-01    -4.5097E-02
     9.1146E-02     1.4719E+02    -4.7895E-01    -4.1903E-02
     9.6354E-02     1.4531E+02    -4.8318E-01    -3.8279E-02
     1.0156E-01     1.4344E+02    -4.9388E-01    -3.4964E-02
     1.0677E-01     1.4156E+02    -5.0075E-01    -3.2639E-02
     1.1198E-01     1.3969E+02    -5.0523E-01    -3.1819E-02
     1.1719E-01     1.3781E+02    -5.0859E-01    -3.2330E-02
     1.2240E-01     1.3594E+02    -5.1203E-01    -3.2920E-02
     1.2760E-01     1.3406E+02    -5.1461E-01    -3.1814E-02
     1.3281E-01     1.3219E+02    -5.1388E-01    -2.7936E-02
     1.3802E-01     1.3031E+02    -5.1485E-01    -2.1603E-02
     1.4323E-01     1.2844E+02    -5.1137E-01    -1.4041E-02
     1.4844E-01     1.2656E+02    -5.0490E-01    -6.5389E-03
     1.5365E-01     1.2469E+02    -4.9877E-01     1.4205E-05
     1.5885E-01     1.2281E+02    -4.9511E-01     5.3493E-03
     1.6406E-01     1.2094E+02    -4.8890E-01     9.7169E-03
     1.6927E-01     1.1906E+02    -4.8242E-01     1.3425E-02
     1.7448E-01     1.1719E+02    -4.7486E-01     1.6422E-02
     1.7969E-01     1.1531E+02    -4.7053E-01     1.8235E-02
     1.8490E-01     1.1344E+02    -4.6501E-01     1.8349E-02
     1.9010E-01     1.1156E+02    -4.6040E-01     1.6701E-02
     1.9531E-01     1.0969E+02    -4.5919E-01     1.3791E-02
     2.0052E-01     1.0781E+02    -4.5807E-01     1.0344E-02
     2.0573E-01     1.0594E+02    -4.5485E-01     6.7286E-03
     2.1094E-01     1.0406E+02    -4.5373E-01     2.8788E-03
     2.1615E-01     1.0219E+02    -4.5238E-01    -1.3166E-03
     2.2135E-01     1.0031E+02    -4.5025E-01    -5.7342E-03
     2.2656E-01     9.8438E+01    -4.4898E-01    -1.0020E-02
     2.3177E-01     9.6563E+01    -4.4649E-01    -1.3862E-02
     2.3698E-01     9.4687E+01    -4.4582E-01    -1.7294E-02
     2.4219E-01     9.2813E+01    -4.4343E-01    -2.0677E-02
     2.4740E-01     9.0938E+01    -4.4202E-01    -2.4301E-02
     2.5260E-01     8.9063E+01    -4.4089E-01    -2.8238E-02
     2.5781E-01     8.7188E+01    -4.4076E-01    -3.2291E-02
     2.6302E-01     8.5312E+01    -4.4230E-01    -3.5556E-02
     2.6823E-01     8.3438E+01    -4.4425E-01    -3.6594E-02
     2.7344E-01     8.1563E+01    -4.4699E-01    -3.4617E-02
     2.7865E-01     7.9687E+01    -4.4892E-01    -3.0341E-02
     2.8385E-01     7.7813E+01    -4.4995E-01    -2.5526E-02
     2.8906E-01     7.5938E+01    -4.5194E-01    -2.1899E-02
     2.9427E-01     7.4062E+01    -4.5323E-01    -2.0477E-02
     2.9948E-01     7.2188E+01    -4.5594E-01    -2.1146E-02
     3.0469E-01     7.0313E+01    -4.5895E-01    -2.2987E-02
     3.0990E-01     6.8437E+01    -4.6444E-01    -2.5183E-02
     3.1510E-01     6.6563E+01    -4.6967E-01    -2.7315E-02
     3.2031E-01     6.4688E+01    -4.7498E-01    -2.9266E-02
     3.2552E-01     6.2812E+01    -4.8024E-01    -3.1014E-02
     3.3073E-01     6.0938E+01    -4.8513E-01    -3.2118E-02
     3.3594E-01     5.9063E+01    -4.9078E-01    -3.1797E-02
     3.4115E-01     5.7187E+01    -4.9695E-01    -3.0041E-02
     3.4635E-01     5.5313E+01    -5.0258E-01    -2.7948E-02
     3.5156E-01     5.3438E+01    -5.0952E-01    -2.7082E-02
     3.5677E-01     5.1562E+01    -5.1682E-01    -2.8290E-02
     3.6198E-01     4.9688E+01    -5.2492E-01    -3.0842E-02
     3.6719E-01     4.7813E+01    -5.3349E-01    -3.3206E-02
     3.7240E-01     4.5937E+01    -5.4244E-01    -3.4676E-02
     3.7760E-01     4.4063E+01    -5.5171E-01    -3.5218E-02
     3.8281E-01     4.2188E+01    -5.5975E-01    -3.4648E-02
     3.8802E-01     4.0312E+01    -5.6609E-01    -3.2597E-02
     3.9323E-01     3.8438E+01    -5.7046E-01    -2.8638E-02
     3.9844E-01     3.6563E+01    -5.7290E-01    -2.2355E-02
     4.0365E-01     3.4687E+01    -5.7254E-01    -1.4825E-02
     4.0885E-01     3.2813E+01    -5.6889E-01    -7.4351E-03
     4.1406E-01     3.0938E+01    -5.6079E-01    -6.3734E-04
     4.1927E-01     2.9062E+01    -5.4736E-01     4.9197E-03
     4.2448E-01     2.7188E+01    -5.2743E-01     8.7151E-03
     4.2969E-01     2.5313E+01    -4.9978E-01     1.1203E-02
