# MEAN AXIAL VELOCITY
#
#        r/D            y+             U+
     2.6042E-03     1.7906E+02     1.9288E+01
     7.8125E-03     1.7719E+02     1.9289E+01
     1.3021E-02     1.7531E+02     1.9291E+01
     1.8229E-02     1.7344E+02     1.9291E+01
     2.3438E-02     1.7156E+02     1.9290E+01
     2.8646E-02     1.6969E+02     1.9286E+01
     3.3854E-02     1.6781E+02     1.9281E+01
     3.9062E-02     1.6594E+02     1.9273E+01
     4.4271E-02     1.6406E+02     1.9263E+01
     4.9479E-02     1.6219E+02     1.9250E+01
     5.4688E-02     1.6031E+02     1.9236E+01
     5.9896E-02     1.5844E+02     1.9221E+01
     6.5104E-02     1.5656E+02     1.9203E+01
     7.0312E-02     1.5469E+02     1.9184E+01
     7.5521E-02     1.5281E+02     1.9163E+01
     8.0729E-02     1.5094E+02     1.9140E+01
     8.5938E-02     1.4906E+02     1.9116E+01
     9.1146E-02     1.4719E+02     1.9090E+01
     9.6354E-02     1.4531E+02     1.9062E+01
     1.0156E-01     1.4344E+02     1.9033E+01
     1.0677E-01     1.4156E+02     1.9002E+01
     1.1198E-01     1.3969E+02     1.8969E+01
     1.1719E-01     1.3781E+02     1.8935E+01
     1.2240E-01     1.3594E+02     1.8900E+01
     1.2760E-01     1.3406E+02     1.8863E+01
     1.3281E-01     1.3219E+02     1.8824E+01
     1.3802E-01     1.3031E+02     1.8785E+01
     1.4323E-01     1.2844E+02     1.8744E+01
     1.4844E-01     1.2656E+02     1.8701E+01
     1.5365E-01     1.2469E+02     1.8658E+01
     1.5885E-01     1.2281E+02     1.8612E+01
     1.6406E-01     1.2094E+02     1.8566E+01
     1.6927E-01     1.1906E+02     1.8518E+01
     1.7448E-01     1.1719E+02     1.8468E+01
     1.7969E-01     1.1531E+02     1.8418E+01
     1.8490E-01     1.1344E+02     1.8366E+01
     1.9010E-01     1.1156E+02     1.8312E+01
     1.9531E-01     1.0969E+02     1.8258E+01
     2.0052E-01     1.0781E+02     1.8202E+01
     2.0573E-01     1.0594E+02     1.8144E+01
     2.1094E-01     1.0406E+02     1.8086E+01
     2.1615E-01     1.0219E+02     1.8026E+01
     2.2135E-01     1.0031E+02     1.7966E+01
     2.2656E-01     9.8438E+01     1.7904E+01
     2.3177E-01     9.6563E+01     1.7841E+01
     2.3698E-01     9.4687E+01     1.7777E+01
     2.4219E-01     9.2813E+01     1.7711E+01
     2.4740E-01     9.0938E+01     1.7645E+01
     2.5260E-01     8.9062E+01     1.7577E+01
     2.5781E-01     8.7188E+01     1.7507E+01
     2.6302E-01     8.5313E+01     1.7437E+01
     2.6823E-01     8.3437E+01     1.7365E+01
     2.7344E-01     8.1563E+01     1.7293E+01
     2.7865E-01     7.9688E+01     1.7220E+01
     2.8385E-01     7.7812E+01     1.7146E+01
     2.8906E-01     7.5938E+01     1.7071E+01
     2.9427E-01     7.4063E+01     1.6995E+01
     2.9948E-01     7.2187E+01     1.6919E+01
     3.0469E-01     7.0313E+01     1.6841E+01
     3.0990E-01     6.8438E+01     1.6763E+01
     3.1510E-01     6.6562E+01     1.6683E+01
     3.2031E-01     6.4688E+01     1.6603E+01
     3.2552E-01     6.2813E+01     1.6521E+01
     3.3073E-01     6.0937E+01     1.6437E+01
     3.3594E-01     5.9063E+01     1.6352E+01
     3.4115E-01     5.7188E+01     1.6265E+01
     3.4635E-01     5.5312E+01     1.6177E+01
     3.5156E-01     5.3438E+01     1.6086E+01
     3.5677E-01     5.1563E+01     1.5993E+01
     3.6198E-01     4.9687E+01     1.5896E+01
     3.6719E-01     4.7813E+01     1.5796E+01
     3.7240E-01     4.5938E+01     1.5692E+01
     3.7760E-01     4.4062E+01     1.5583E+01
     3.8281E-01     4.2188E+01     1.5468E+01
     3.8802E-01     4.0313E+01     1.5346E+01
     3.9323E-01     3.8437E+01     1.5215E+01
     3.9844E-01     3.6563E+01     1.5075E+01
     4.0365E-01     3.4688E+01     1.4922E+01
     4.0885E-01     3.2812E+01     1.4754E+01
     4.1406E-01     3.0938E+01     1.4568E+01
     4.1927E-01     2.9063E+01     1.4359E+01
     4.2448E-01     2.7187E+01     1.4122E+01
     4.2969E-01     2.5313E+01     1.3850E+01
     4.3490E-01     2.3438E+01     1.3535E+01
     4.4010E-01     2.1562E+01     1.3167E+01
     4.4531E-01     1.9688E+01     1.2732E+01
     4.5052E-01     1.7813E+01     1.2217E+01
     4.5573E-01     1.5937E+01     1.1602E+01
     4.6094E-01     1.4063E+01     1.0865E+01
     4.6615E-01     1.2188E+01     9.9819E+00
     4.7135E-01     1.0312E+01     8.9263E+00
     4.7656E-01     8.4375E+00     7.6759E+00
     4.8177E-01     6.5625E+00     6.2213E+00
     4.8698E-01     4.6875E+00     4.5783E+00
     4.9219E-01     2.8125E+00     2.7952E+00
     4.9740E-01     9.3750E-01     9.3791E-01
